P,epsilon,N,budget,min_prize,max_prize,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_1_EL,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_2_EL,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_3_EL,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_4_EL,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_5_EL,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_6_EL,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_7_EL,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_8_EL,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_9_EL,k_10_winners,k_10_num_winners,k_10_util,k_10_egal,k_10_nash,k_10_comp,k_10_EL,k_11_winners,k_11_num_winners,k_11_util,k_11_egal,k_11_nash,k_11_comp,k_11_EL,k_12_winners,k_12_num_winners,k_12_util,k_12_egal,k_12_nash,k_12_comp,k_12_EL,k_13_winners,k_13_num_winners,k_13_util,k_13_egal,k_13_nash,k_13_comp,k_13_EL,k_14_winners,k_14_num_winners,k_14_util,k_14_egal,k_14_nash,k_14_comp,k_14_EL,k_15_winners,k_15_num_winners,k_15_util,k_15_egal,k_15_nash,k_15_comp,k_15_EL,k_16_winners,k_16_num_winners,k_16_util,k_16_egal,k_16_nash,k_16_comp,k_16_EL,k_17_winners,k_17_num_winners,k_17_util,k_17_egal,k_17_nash,k_17_comp,k_17_EL,k_18_winners,k_18_num_winners,k_18_util,k_18_egal,k_18_nash,k_18_comp,k_18_EL,k_19_winners,k_19_num_winners,k_19_util,k_19_egal,k_19_nash,k_19_comp,k_19_EL
20,10,500,40,20,40,1,28,38,32,35,33,31,36,28,21,22,25,25,27,35,34,24,37,21,20,28,18,1,0.06524077984045443,0.0,0,0,0,3,1,0.06259685914421985,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,18,1,0.06524077984045443,0.0,0,0,0,14,1,0.05999546588343477,0.0,0,0,0,14,1,0.05999546588343477,0.0,0,0,0,7,1,0.06226623401476643,0.022571851640435903,0,0,0,7,1,0.06226623401476643,0.022571851640435903,0,0,0,7,1,0.06226623401476643,0.022571851640435903,0,0,0,7,1,0.06226623401476643,0.022571851640435903,0,0,0,7,1,0.06226623401476643,0.022571851640435903,0,0,0
20,10,500,40,20,40,1,26,28,38,32,39,35,26,29,29,33,21,31,27,35,35,35,36,20,23,32,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,17,1,0.05841090257930039,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,7,1,0.05690842140895449,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,5,1,0.06229234522563851,0.0,0,0,0,17,1,0.05841090257930039,0.0,0,0,0,15,1,0.057989474834470076,0.0029140891186040627,0,0,0
20,10,500,40,20,40,1,35,20,33,31,22,32,37,30,33,35,31,37,25,39,27,20,32,21,33,30,13,1,0.06400637906666987,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,17,1,0.059005148895025936,0.0,0,0,0,17,1,0.059005148895025936,0.0,0,0,0,17,1,0.059005148895025936,0.0,0,0,0,17,1,0.059005148895025936,0.0,0,0,0,17,1,0.059005148895025936,0.0,0,0,0,17,1,0.059005148895025936,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,13,1,0.06400637906666987,0.0,0,0,0,1 15,2,0.11562683915742154,0.042131957303558634,0,0,0,17,1,0.059005148895025936,0.0,0,0,0,19,1,0.05789656618023449,0.002469307485204956,0,0,0
20,10,500,40,20,40,1,37,36,21,33,22,29,38,22,38,21,24,23,32,20,38,35,27,35,22,26,19,1,0.06179545229171235,0.0,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,19,1,0.06179545229171235,0.0,0,0,0,19,1,0.06179545229171235,0.0,0,0,0,19,1,0.06179545229171235,0.0,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,8,1,0.06250993968001024,0.009156990938391747,0,0,0,19,1,0.06179545229171235,0.0,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0,1,1,0.06440572562273517,0.011336577467250884,0,0,0
20,10,500,40,20,40,1,25,21,33,36,35,33,22,20,25,33,29,38,21,31,35,23,33,32,22,20,4,1,0.06297440334506364,0.0,0,0,0,4,1,0.06297440334506364,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,10,1,0.06488336951008272,0.005380346239131509,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,4,1,0.06297440334506364,0.0,0,0,0,4,1,0.06297440334506364,0.0,0,0,0,18,1,0.060422434510808115,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,10,1,0.06488336951008272,0.005380346239131509,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,14,1,0.06337928482970255,0.0,0,0,0,10,1,0.06488336951008272,0.005380346239131509,0,0,0
20,10,500,40,20,40,1,27,30,25,30,29,24,27,38,33,33,29,31,28,35,28,22,28,33,35,35,15,1,0.05933611282329686,0.0,0,0,0,15,1,0.05933611282329686,0.0,0,0,0,15,1,0.05933611282329686,0.0,0,0,0,15,1,0.05933611282329686,0.0,0,0,0,4,1,0.05708638244544599,0.0,0,0,0,1,1,0.058360988766629714,0.0,0,0,0,4,1,0.05708638244544599,0.0,0,0,0,4,1,0.05708638244544599,0.0,0,0,0,1,1,0.058360988766629714,0.0,0,0,0,1,1,0.058360988766629714,0.0,0,0,0,1,1,0.058360988766629714,0.0,0,0,0,15,1,0.05933611282329686,0.0,0,0,0,15,1,0.05933611282329686,0.0,0,0,0,15,1,0.05933611282329686,0.0,0,0,0,5,1,0.058932707945317,0.005057050092754164,0,0,0,5,1,0.058932707945317,0.005057050092754164,0,0,0,5,1,0.058932707945317,0.005057050092754164,0,0,0,5,1,0.058932707945317,0.005057050092754164,0,0,0,5,1,0.058932707945317,0.005057050092754164,0,0,0
20,10,500,40,20,40,1,36,23,26,32,36,38,25,35,23,25,25,35,22,39,34,24,20,34,25,28,17,1,0.06902208071624709,0.013370220595281583,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,17,1,0.06902208071624709,0.013370220595281583,0,0,0,17,1,0.06902208071624709,0.013370220595281583,0,0,0,17,1,0.06902208071624709,0.013370220595281583,0,0,0,17,1,0.06902208071624709,0.013370220595281583,0,0,0,17,1,0.06902208071624709,0.013370220595281583,0,0,0,17,1,0.06902208071624709,0.013370220595281583,0,0,0,17,1,0.06902208071624709,0.013370220595281583,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,5,1,0.06629335973341786,0.0,0,0,0,17,1,0.06902208071624709,0.013370220595281583,0,0,0
20,10,500,40,20,40,1,26,37,31,20,29,24,33,37,38,21,27,22,22,38,39,29,38,35,30,39,7,1,0.06299579709592679,0.0,0,0,0,7,1,0.06299579709592679,0.0,0,0,0,7,1,0.06299579709592679,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,4,1,0.060036217136683966,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0,18,1,0.06542184960842959,0.0,0,0,0
20,10,500,40,20,40,1,23,29,24,34,29,33,34,28,23,28,20,36,34,36,38,39,24,26,26,28,2,1,0.06015915320980971,0.0,0,0,0,2,1,0.06015915320980971,0.0,0,0,0,10,1,0.061832499851140726,0.0,0,0,0,10,1,0.061832499851140726,0.0,0,0,0,10,1,0.061832499851140726,0.0,0,0,0,10,1,0.061832499851140726,0.0,0,0,0,10,1,0.061832499851140726,0.0,0,0,0,10,1,0.061832499851140726,0.0,0,0,0,10,1,0.061832499851140726,0.0,0,0,0,6,1,0.06206075193692726,0.0,0,0,0,6,1,0.06206075193692726,0.0,0,0,0,2,1,0.06015915320980971,0.0,0,0,0,2,1,0.06015915320980971,0.0,0,0,0,2,1,0.06015915320980971,0.0,0,0,0,2,1,0.06015915320980971,0.0,0,0,0,2,1,0.06015915320980971,0.0,0,0,0,2,1,0.06015915320980971,0.0,0,0,0,2,1,0.06015915320980971,0.0,0,0,0,8,1,0.05430066344703178,0.0037884279499422525,0,0,0
20,10,500,40,20,40,1,33,28,29,28,37,31,26,21,24,24,38,36,37,33,21,22,31,28,34,21,3,1,0.05745670472736249,0.0,0,0,0,7,1,0.05930486183668246,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,2,1,0.06002640719440002,0.0,0,0,0,18,1,0.05918234144681417,0.0,0,0,0,18,1,0.05918234144681417,0.0,0,0,0,18,1,0.05918234144681417,0.0,0,0,0,18,1,0.05918234144681417,0.0,0,0,0,3,1,0.05745670472736249,0.0,0,0,0,16,1,0.05779834651841198,0.0,0,0,0,18,1,0.05918234144681417,0.0,0,0,0,18,1,0.05918234144681417,0.0,0,0,0
