P,epsilon,N,budget,min_prize,max_prize,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_1_EL,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_2_EL,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_3_EL,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_4_EL,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_5_EL,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_6_EL,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_7_EL,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_8_EL,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_9_EL
10,10,500,40,8,10,1,9,8,9,9,8,8,9,9,8,8,8 9 3 6,4,0.49971860487800746,0.233855850592446,0,0,0,8 9 3 6,4,0.49971860487800746,0.233855850592446,0,0,0,8 9 3 6,4,0.49971860487800746,0.233855850592446,0,0,0,8 9 3 6,4,0.49971860487800746,0.233855850592446,0,0,0,8 9 3 6,4,0.49971860487800746,0.233855850592446,0,0,0,8 9 3 6,4,0.49971860487800746,0.233855850592446,0,0,0,8 2 3 6,4,0.48792067125863864,0.18500319335601778,0,0,0,8 2 3 6,4,0.48792067125863864,0.18500319335601778,0,0,0,8 2 3 6,4,0.48792067125863864,0.18500319335601778,0,0,0
10,10,500,40,8,10,1,9,8,8,9,9,9,9,8,9,8,1 4 5 9,4,0.4807232839352614,0.22653353357324407,0,0,0,1 4 5 9,4,0.4807232839352614,0.22653353357324407,0,0,0,1 4 5 9,4,0.4807232839352614,0.22653353357324407,0,0,0,1 4 5 9,4,0.4807232839352614,0.22653353357324407,0,0,0,1 4 5 9,4,0.4807232839352614,0.22653353357324407,0,0,0,1 4 5 9,4,0.4807232839352614,0.22653353357324407,0,0,0,1 4 5 9,4,0.4807232839352614,0.22653353357324407,0,0,0,9 4 5 1,4,0.4807232839352614,0.22653353357324407,0,0,0,9 4 1 7,4,0.4591226815331753,0.16636974131715804,0,0,0
10,10,500,40,8,10,1,9,8,8,8,8,9,9,8,9,9,0 9 2 4,4,0.4474682681003668,0.14504168275252705,0,0,0,0 2 4 5,4,0.4548143272220973,0.21288748920308528,0,0,0,0 4 5 6,4,0.4595984269288357,0.23760775392896566,0,0,0,0 9 4 5,4,0.45352200012268024,0.18779649588119346,0,0,0,0 9 5 6,4,0.45346281481753364,0.15861804602441015,0,0,0,0 9 5 6,4,0.45346281481753364,0.15861804602441015,0,0,0,0 2 5 6,4,0.45475514191695077,0.24704497093764416,0,0,0,0 2 4 6,4,0.45354469490652216,0.16731081846239249,0,0,0,0 9 2 6,4,0.4474090827952201,0.17016156433212326,0,0,0
10,10,500,40,8,10,1,8,9,8,9,8,8,9,8,9,8,8 1 2 7,4,0.4353214624054502,0.22686469649633545,0,0,0,1 2 3 7,4,0.44984829717559455,0.2613604518740612,0,0,0,1 3 6 7,4,0.46133991912896044,0.2178802958871706,0,0,0,1 3 5 7,4,0.4481748174302785,0.22843911353116708,0,0,0,1 5 6 7,4,0.4487396200148761,0.23951609802195875,0,0,0,1 3 6 7,4,0.46133991912896044,0.2178802958871706,0,0,0,1 3 6 7,4,0.46133991912896044,0.2178802958871706,0,0,0,8 1 6 7,4,0.44681308435881595,0.21663975488663115,0,0,0,1 3 6 7,4,0.46133991912896044,0.2178802958871706,0,0,0
10,10,500,40,8,10,1,9,8,8,9,8,9,9,9,8,8,1 3 4 6,4,0.4743860313534848,0.10260681501009357,0,0,0,8 1 4 6,4,0.4686539159033256,0.2231109497195118,0,0,0,8 3 4 6,4,0.46477363441169794,0.2645920110898787,0,0,0,1 3 4 6,4,0.4743860313534848,0.10260681501009357,0,0,0,8 1 4 6,4,0.4686539159033256,0.2231109497195118,0,0,0,8 1 4 6,4,0.4686539159033256,0.2231109497195118,0,0,0,1 3 4 6,4,0.4743860313534848,0.10260681501009357,0,0,0,1 3 4 5,4,0.4548721530244174,0.1982675503538655,0,0,0,1 4 5 6,4,0.46636769857454724,0.22163033403582322,0,0,0
10,10,500,40,8,10,1,8,9,8,9,8,8,8,8,8,8,0 1 4 6,4,0.4646747320045241,0.23642483751710613,0,0,0,0 1 6 7,4,0.4651789883082092,0.11667251217971505,0,0,0,0 1 6 7,4,0.4651789883082092,0.11667251217971505,0,0,0,0 1 6 7,4,0.4651789883082092,0.11667251217971505,0,0,0,0 1 6 7,4,0.4651789883082092,0.11667251217971505,0,0,0,0 1 5 6,4,0.4672383079421024,0.16338817671313632,0,0,0,0 1 5 6,4,0.4672383079421024,0.16338817671313632,0,0,0,0 1 4 6,4,0.4646747320045241,0.23642483751710613,0,0,0,0 1 5 6,4,0.4672383079421024,0.16338817671313632,0,0,0
10,10,500,40,8,10,1,9,8,9,8,8,9,8,9,8,8,4 5 6 7,4,0.4324120146966446,0.1153075312131713,0,0,0,3 5 6 7,4,0.42796757662025536,0.14115179393979393,0,0,0,8 2 5 6,4,0.43699078653098555,0.17863183817315703,0,0,0,8 0 5 6,4,0.4295799236221864,0.19954520819103552,0,0,0,8 5 6 7,4,0.4418146141941368,0.10636589221432867,0,0,0,8 5 6 7,4,0.4418146141941368,0.10636589221432867,0,0,0,8 5 6 7,4,0.4418146141941368,0.10636589221432867,0,0,0,8 9 6 7,4,0.43304579622800476,0.11020324989121225,0,0,0,9 3 6 7,4,0.41919875865412337,0.10908915438680032,0,0,0
10,10,500,40,8,10,1,8,9,8,8,9,9,9,9,8,9,0 1 3 5,4,0.47305280027053376,0.19996798734943888,0,0,0,0 1 5 8,4,0.4705772290062503,0.17637289604186276,0,0,0,0 1 4 5,4,0.47387399646910844,0.2023283831634317,0,0,0,0 1 3 5,4,0.47305280027053376,0.19996798734943888,0,0,0,0 1 3 5,4,0.47305280027053376,0.19996798734943888,0,0,0,0 1 4 5,4,0.47387399646910844,0.2023283831634317,0,0,0,0 1 4 5,4,0.47387399646910844,0.2023283831634317,0,0,0,0 1 5 8,4,0.4705772290062503,0.17637289604186276,0,0,0,0 8 4 5,4,0.4519084929176255,0.19019033561718834,0,0,0
10,10,500,40,8,10,1,9,9,8,9,9,8,8,8,9,9,8 1 4 7,4,0.45883836982495146,0.17903218767042728,0,0,0,8 1 2 7,4,0.45377713630271477,0.22153922101821283,0,0,0,8 1 3 7,4,0.45664639471532686,0.15591881831107898,0,0,0,8 1 3 7,4,0.45664639471532686,0.15591881831107898,0,0,0,8 1 9 7,4,0.4667028649470282,0.18432671788489988,0,0,0,8 1 9 7,4,0.4667028649470282,0.18432671788489988,0,0,0,8 1 9 7,4,0.4667028649470282,0.18432671788489988,0,0,0,8 1 9 7,4,0.4667028649470282,0.18432671788489988,0,0,0,8 1 9 0,4,0.45422767883934567,0.2041650130886973,0,0,0
10,10,500,40,8,10,1,9,9,9,9,9,8,8,9,8,9,8 1 3 6,4,0.5006307376185414,0.2608392353627077,0,0,0,8 1 3 6,4,0.5006307376185414,0.2608392353627077,0,0,0,8 1 3 6,4,0.5006307376185414,0.2608392353627077,0,0,0,1 3 4 6,4,0.4956180388432777,0.2793966168585343,0,0,0,1 3 4 6,4,0.4956180388432777,0.2793966168585343,0,0,0,1 3 4 6,4,0.4956180388432777,0.2793966168585343,0,0,0,1 3 4 6,4,0.4956180388432777,0.2793966168585343,0,0,0,1 3 4 6,4,0.4956180388432777,0.2793966168585343,0,0,0,1 3 4 6,4,0.4956180388432777,0.2793966168585343,0,0,0
