P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp
10,10,500,40,25,40,1,1.0,32,25,31,27,37,31,30,30,29,34,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836,2,1,0.12199748216568822,0.012637371010340723,-2.220956654985977,4.836
10,10,500,40,25,40,1,1.0,30,39,35,37,33,25,38,26,26,36,1,1,0.11441125922015924,0.013943922608767156,-2.3115233773840886,6.708,3,1,0.11535319503819673,0.013286109935051579,-2.3075725732646752,5.402,0,1,0.1157667370920133,0.014600178670515863,-2.2874684464456383,4.74,0,1,0.1157667370920133,0.014600178670515863,-2.2874684464456383,4.74,0,1,0.1157667370920133,0.014600178670515863,-2.2874684464456383,4.74,0,1,0.1157667370920133,0.014600178670515863,-2.2874684464456383,4.74,0,1,0.1157667370920133,0.014600178670515863,-2.2874684464456383,4.74,0,1,0.1157667370920133,0.014600178670515863,-2.2874684464456383,4.74,0,1,0.1157667370920133,0.014600178670515863,-2.2874684464456383,4.74
10,10,500,40,25,40,1,1.0,39,39,31,39,30,31,35,30,34,27,1,1,0.12199438008521704,0.013485506957782691,-2.2340486554675842,7.176,1,1,0.12199438008521704,0.013485506957782691,-2.2340486554675842,7.176,1,1,0.12199438008521704,0.013485506957782691,-2.2340486554675842,7.176,6,1,0.12017568813242928,0.014293912046236664,-2.238747935190002,5.25,6,1,0.12017568813242928,0.014293912046236664,-2.238747935190002,5.25,1,1,0.12199438008521704,0.013485506957782691,-2.2340486554675842,7.176,6,1,0.12017568813242928,0.014293912046236664,-2.238747935190002,5.25,6,1,0.12017568813242928,0.014293912046236664,-2.238747935190002,5.25,6,1,0.12017568813242928,0.014293912046236664,-2.238747935190002,5.25
10,10,500,40,25,40,1,1.0,32,30,36,39,39,37,35,25,26,35,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94,1,1,0.12418825617364769,0.0135692316826604,-2.2165991510455108,5.94
10,10,500,40,25,40,1,1.0,27,33,29,38,29,31,32,38,35,32,6,1,0.12293301406341726,0.014292728754368158,-2.227774689540114,6.08,8,1,0.12177056498251394,0.014263692098200526,-2.237009943351898,6.16,8,1,0.12177056498251394,0.014263692098200526,-2.237009943351898,6.16,6,1,0.12293301406341726,0.014292728754368158,-2.227774689540114,6.08,8,1,0.12177056498251394,0.014263692098200526,-2.237009943351898,6.16,8,1,0.12177056498251394,0.014263692098200526,-2.237009943351898,6.16,6,1,0.12293301406341726,0.014292728754368158,-2.227774689540114,6.08,6,1,0.12293301406341726,0.014292728754368158,-2.227774689540114,6.08,5,1,0.11643094323712042,0.013545357229763742,-2.2793533024350365,4.402
10,10,500,40,25,40,1,1.0,32,35,27,39,34,31,31,29,34,33,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496,7,1,0.13082060525813236,0.013180440472081155,-2.1467332812213784,6.496
10,10,500,40,25,40,1,1.0,26,27,29,26,31,34,28,37,31,35,0,1,0.11273632681998969,0.012615032784992111,-2.350272655151047,4.004,8,1,0.11015263262729676,0.012800667060189203,-2.3719198737246296,4.402,0,1,0.11273632681998969,0.012615032784992111,-2.350272655151047,4.004,0,1,0.11273632681998969,0.012615032784992111,-2.350272655151047,4.004,8,1,0.11015263262729676,0.012800667060189203,-2.3719198737246296,4.402,0,1,0.11273632681998969,0.012615032784992111,-2.350272655151047,4.004,0,1,0.11273632681998969,0.012615032784992111,-2.350272655151047,4.004,8,1,0.11015263262729676,0.012800667060189203,-2.3719198737246296,4.402,8,1,0.11015263262729676,0.012800667060189203,-2.3719198737246296,4.402
10,10,500,40,25,40,1,1.0,37,38,29,31,38,27,34,39,30,37,2,1,0.11106251552792176,0.012895448361426962,-2.3376298074424358,4.234,8,1,0.10978302772991352,0.013004163882470015,-2.3729616389946586,3.6,5,1,0.11061037481209658,0.011676364378539429,-2.3625242446853902,3.186,5,1,0.11061037481209658,0.011676364378539429,-2.3625242446853902,3.186,5,1,0.11061037481209658,0.011676364378539429,-2.3625242446853902,3.186,5,1,0.11061037481209658,0.011676364378539429,-2.3625242446853902,3.186,5,1,0.11061037481209658,0.011676364378539429,-2.3625242446853902,3.186,2,1,0.11106251552792176,0.012895448361426962,-2.3376298074424358,4.234,2,1,0.11106251552792176,0.012895448361426962,-2.3376298074424358,4.234
10,10,500,40,25,40,1,1.0,35,35,28,35,26,34,34,37,25,26,6,1,0.11617039051362321,0.013510633701719295,-2.302501136037743,5.848,6,1,0.11617039051362321,0.013510633701719295,-2.302501136037743,5.848,0,1,0.1139633226821812,0.012754063694503687,-2.327630974959403,4.55,0,1,0.1139633226821812,0.012754063694503687,-2.327630974959403,4.55,6,1,0.11617039051362321,0.013510633701719295,-2.302501136037743,5.848,7,1,0.11311067592837183,0.012994696694971919,-2.3297574603285858,5.476,6,1,0.11617039051362321,0.013510633701719295,-2.302501136037743,5.848,6,1,0.11617039051362321,0.013510633701719295,-2.302501136037743,5.848,4,1,0.11273705810379556,0.01260360474209151,-2.3448266183785162,3.536
10,10,500,40,25,40,1,1.0,33,39,30,31,35,32,26,32,35,26,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616,6,1,0.12938422797375992,0.011986500129369053,-2.168443513883015,5.616
10,10,500,40,25,40,1,1.0,28,27,33,27,30,28,35,28,34,25,0,1,0.11691653100587848,0.012741907134665222,-2.2924503947050403,4.592,9,1,0.11834095326020168,0.011263005235404603,-2.2601267623444654,3.9,9,1,0.11834095326020168,0.011263005235404603,-2.2601267623444654,3.9,9,1,0.11834095326020168,0.011263005235404603,-2.2601267623444654,3.9,6,1,0.11554145939664599,0.013842252982178064,-2.288416455665899,5.04,6,1,0.11554145939664599,0.013842252982178064,-2.288416455665899,5.04,9,1,0.11834095326020168,0.011263005235404603,-2.2601267623444654,3.9,6,1,0.11554145939664599,0.013842252982178064,-2.288416455665899,5.04,9,1,0.11834095326020168,0.011263005235404603,-2.2601267623444654,3.9
10,10,500,40,25,40,1,1.0,32,37,37,36,30,26,27,39,27,28,9,1,0.1209665013471274,0.014259942505408163,-2.23388829522545,4.76,9,1,0.1209665013471274,0.014259942505408163,-2.23388829522545,4.76,0,1,0.11869557409334265,0.013912019623749852,-2.270890094812772,4.864,7,1,0.11749694982594099,0.012911070904810312,-2.277472884774551,6.006,9,1,0.1209665013471274,0.014259942505408163,-2.23388829522545,4.76,9,1,0.1209665013471274,0.014259942505408163,-2.23388829522545,4.76,9,1,0.1209665013471274,0.014259942505408163,-2.23388829522545,4.76,9,1,0.1209665013471274,0.014259942505408163,-2.23388829522545,4.76,9,1,0.1209665013471274,0.014259942505408163,-2.23388829522545,4.76
10,10,500,40,25,40,1,1.0,35,27,38,34,35,35,27,31,25,26,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95,4,1,0.12073062327441368,0.013323555363395303,-2.2372039126885905,5.95
10,10,500,40,25,40,1,1.0,32,35,27,29,25,32,32,30,28,37,5,1,0.12348505961547515,0.01334095022350079,-2.2144480852768846,6.016,5,1,0.12348505961547515,0.01334095022350079,-2.2144480852768846,6.016,5,1,0.12348505961547515,0.01334095022350079,-2.2144480852768846,6.016,5,1,0.12348505961547515,0.01334095022350079,-2.2144480852768846,6.016,5,1,0.12348505961547515,0.01334095022350079,-2.2144480852768846,6.016,5,1,0.12348505961547515,0.01334095022350079,-2.2144480852768846,6.016,5,1,0.12348505961547515,0.01334095022350079,-2.2144480852768846,6.016,5,1,0.12348505961547515,0.01334095022350079,-2.2144480852768846,6.016,9,1,0.12127395375911956,0.013970779695681564,-2.243173474530208,6.808
10,10,500,40,25,40,1,1.0,36,37,31,33,32,31,31,32,36,26,7,1,0.11923924564046204,0.013069813126100246,-2.2628101816945208,4.672,7,1,0.11923924564046204,0.013069813126100246,-2.2628101816945208,4.672,7,1,0.11923924564046204,0.013069813126100246,-2.2628101816945208,4.672,7,1,0.11923924564046204,0.013069813126100246,-2.2628101816945208,4.672,7,1,0.11923924564046204,0.013069813126100246,-2.2628101816945208,4.672,7,1,0.11923924564046204,0.013069813126100246,-2.2628101816945208,4.672,7,1,0.11923924564046204,0.013069813126100246,-2.2628101816945208,4.672,7,1,0.11923924564046204,0.013069813126100246,-2.2628101816945208,4.672,6,1,0.1152883710164259,0.012792112821183995,-2.2964332254559476,4.464
10,10,500,40,25,40,1,1.0,26,29,28,30,33,35,33,37,30,39,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974,1,1,0.12540509276332712,0.01267232443628252,-2.1901718131971557,5.974
10,10,500,40,25,40,1,1.0,26,39,31,26,30,31,32,38,33,34,7,1,0.12354221608182873,0.01457703177998754,-2.2080360176667524,7.144,7,1,0.12354221608182873,0.01457703177998754,-2.2080360176667524,7.144,7,1,0.12354221608182873,0.01457703177998754,-2.2080360176667524,7.144,7,1,0.12354221608182873,0.01457703177998754,-2.2080360176667524,7.144,7,1,0.12354221608182873,0.01457703177998754,-2.2080360176667524,7.144,2,1,0.12159780977142892,0.013443481350881161,-2.2287256840007905,5.518,2,1,0.12159780977142892,0.013443481350881161,-2.2287256840007905,5.518,7,1,0.12354221608182873,0.01457703177998754,-2.2080360176667524,7.144,7,1,0.12354221608182873,0.01457703177998754,-2.2080360176667524,7.144
10,10,500,40,25,40,1,1.0,25,32,36,37,35,38,35,31,31,39,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58,8,1,0.12461558813168419,0.012545588244738955,-2.1967217405503106,5.58
10,10,500,40,25,40,1,1.0,26,27,36,29,25,25,35,36,35,39,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05,5,1,0.11778283614669849,0.013920326345280773,-2.2744434377220513,4.05
10,10,500,40,25,40,1,1.0,34,30,26,35,35,25,33,33,39,33,2,1,0.12739463621788813,0.013727954073359833,-2.168870165096408,5.2,2,1,0.12739463621788813,0.013727954073359833,-2.168870165096408,5.2,2,1,0.12739463621788813,0.013727954073359833,-2.168870165096408,5.2,2,1,0.12739463621788813,0.013727954073359833,-2.168870165096408,5.2,9,1,0.12360429509149523,0.013764824234688455,-2.2003236245336413,5.61,2,1,0.12739463621788813,0.013727954073359833,-2.168870165096408,5.2,2,1,0.12739463621788813,0.013727954073359833,-2.168870165096408,5.2,9,1,0.12360429509149523,0.013764824234688455,-2.2003236245336413,5.61,9,1,0.12360429509149523,0.013764824234688455,-2.2003236245336413,5.61
10,10,500,40,25,40,1,1.0,29,31,35,31,31,34,32,37,31,39,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642,1,1,0.11881469733582278,0.01331211143676347,-2.276823546218674,5.642
10,10,500,40,25,40,1,1.0,36,28,33,36,29,34,27,34,35,26,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936,5,1,0.12591506361887686,0.014121658519516063,-2.19372291099611,6.936
10,10,500,40,25,40,1,1.0,25,33,25,31,25,37,37,35,34,31,5,1,0.12739535328861243,0.01278981759372299,-2.1757753046455,7.4,0,1,0.1250491870600772,0.013056454004071232,-2.2033309800771606,4.75,0,1,0.1250491870600772,0.013056454004071232,-2.2033309800771606,4.75,0,1,0.1250491870600772,0.013056454004071232,-2.2033309800771606,4.75,0,1,0.1250491870600772,0.013056454004071232,-2.2033309800771606,4.75,5,1,0.12739535328861243,0.01278981759372299,-2.1757753046455,7.4,5,1,0.12739535328861243,0.01278981759372299,-2.1757753046455,7.4,5,1,0.12739535328861243,0.01278981759372299,-2.1757753046455,7.4,5,1,0.12739535328861243,0.01278981759372299,-2.1757753046455,7.4
10,10,500,40,25,40,1,1.0,27,38,30,37,26,39,37,26,27,32,3,1,0.11269436020693266,0.013331131032948456,-2.3185681064487045,5.328,8,1,0.11179927019653242,0.013557481165833878,-2.361087600838663,3.78,8,1,0.11179927019653242,0.013557481165833878,-2.361087600838663,3.78,0,1,0.11127748541069281,0.012120462860583804,-2.3422145210476546,3.564,0,1,0.11127748541069281,0.012120462860583804,-2.3422145210476546,3.564,3,1,0.11269436020693266,0.013331131032948456,-2.3185681064487045,5.328,0,1,0.11127748541069281,0.012120462860583804,-2.3422145210476546,3.564,3,1,0.11269436020693266,0.013331131032948456,-2.3185681064487045,5.328,3,1,0.11269436020693266,0.013331131032948456,-2.3185681064487045,5.328
10,10,500,40,25,40,1,1.0,25,28,36,30,36,38,29,35,29,27,1,1,0.11561521415407044,0.014058039576729192,-2.3104633633735943,4.76,6,1,0.12187535830111894,0.013932661618133443,-2.2342989102217787,4.698,6,1,0.12187535830111894,0.013932661618133443,-2.2342989102217787,4.698,6,1,0.12187535830111894,0.013932661618133443,-2.2342989102217787,4.698,6,1,0.12187535830111894,0.013932661618133443,-2.2342989102217787,4.698,6,1,0.12187535830111894,0.013932661618133443,-2.2342989102217787,4.698,6,1,0.12187535830111894,0.013932661618133443,-2.2342989102217787,4.698,6,1,0.12187535830111894,0.013932661618133443,-2.2342989102217787,4.698,6,1,0.12187535830111894,0.013932661618133443,-2.2342989102217787,4.698
10,10,500,40,25,40,1,1.0,25,28,28,34,38,37,27,28,36,38,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656,2,1,0.12207332745546341,0.013968605974584792,-2.227546752335532,5.656
10,10,500,40,25,40,1,1.0,33,34,35,39,37,32,27,26,31,25,2,1,0.11591496076466061,0.01199566206366491,-2.3147657980021656,6.09,2,1,0.11591496076466061,0.01199566206366491,-2.3147657980021656,6.09,2,1,0.11591496076466061,0.01199566206366491,-2.3147657980021656,6.09,2,1,0.11591496076466061,0.01199566206366491,-2.3147657980021656,6.09,2,1,0.11591496076466061,0.01199566206366491,-2.3147657980021656,6.09,2,1,0.11591496076466061,0.01199566206366491,-2.3147657980021656,6.09,2,1,0.11591496076466061,0.01199566206366491,-2.3147657980021656,6.09,0,1,0.1125371610235263,0.01396775876631273,-2.328872850305413,4.884,4,1,0.10869241837804128,0.012842321271979009,-2.358168191187887,3.552
10,10,500,40,25,40,1,1.0,25,26,37,26,27,39,32,29,27,28,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808,6,1,0.13498702396183573,0.01281102222317985,-2.114338111234676,7.808
10,10,500,40,25,40,1,1.0,35,37,26,34,28,29,37,25,25,30,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51,0,1,0.1239580321626388,0.013099791122009095,-2.2188891153855304,6.51
10,10,500,40,25,40,1,1.0,31,25,33,35,25,29,39,32,27,32,0,1,0.11213334013306098,0.01297403298003467,-2.341031946209891,4.898,6,1,0.11247315115140046,0.01121901472099887,-2.349275155425413,5.616,7,1,0.11696289210573571,0.012897957868506253,-2.292442471891251,4.608,7,1,0.11696289210573571,0.012897957868506253,-2.292442471891251,4.608,7,1,0.11696289210573571,0.012897957868506253,-2.292442471891251,4.608,7,1,0.11696289210573571,0.012897957868506253,-2.292442471891251,4.608,7,1,0.11696289210573571,0.012897957868506253,-2.292442471891251,4.608,7,1,0.11696289210573571,0.012897957868506253,-2.292442471891251,4.608,7,1,0.11696289210573571,0.012897957868506253,-2.292442471891251,4.608
10,10,500,40,25,40,1,1.0,36,30,38,36,34,28,32,32,38,33,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784,3,1,0.13427947288441064,0.0156979437193372,-2.1208899885407675,8.784
10,10,500,40,25,40,1,1.0,25,36,37,31,25,35,35,38,27,29,7,1,0.11734234677782121,0.013418073830206384,-2.2719750019868603,5.928,3,1,0.11488768344034793,0.012282671100767665,-2.301270307884047,4.526,7,1,0.11734234677782121,0.013418073830206384,-2.2719750019868603,5.928,7,1,0.11734234677782121,0.013418073830206384,-2.2719750019868603,5.928,7,1,0.11734234677782121,0.013418073830206384,-2.2719750019868603,5.928,7,1,0.11734234677782121,0.013418073830206384,-2.2719750019868603,5.928,7,1,0.11734234677782121,0.013418073830206384,-2.2719750019868603,5.928,7,1,0.11734234677782121,0.013418073830206384,-2.2719750019868603,5.928,3,1,0.11488768344034793,0.012282671100767665,-2.301270307884047,4.526
