P,epsilon,N,budget,min_prize,max_prize,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_1_EL,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_2_EL,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_3_EL,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_4_EL,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_5_EL,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_6_EL,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_7_EL,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_8_EL,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_9_EL,k_10_winners,k_10_num_winners,k_10_util,k_10_egal,k_10_nash,k_10_comp,k_10_EL,k_11_winners,k_11_num_winners,k_11_util,k_11_egal,k_11_nash,k_11_comp,k_11_EL,k_12_winners,k_12_num_winners,k_12_util,k_12_egal,k_12_nash,k_12_comp,k_12_EL,k_13_winners,k_13_num_winners,k_13_util,k_13_egal,k_13_nash,k_13_comp,k_13_EL,k_14_winners,k_14_num_winners,k_14_util,k_14_egal,k_14_nash,k_14_comp,k_14_EL,k_15_winners,k_15_num_winners,k_15_util,k_15_egal,k_15_nash,k_15_comp,k_15_EL,k_16_winners,k_16_num_winners,k_16_util,k_16_egal,k_16_nash,k_16_comp,k_16_EL,k_17_winners,k_17_num_winners,k_17_util,k_17_egal,k_17_nash,k_17_comp,k_17_EL,k_18_winners,k_18_num_winners,k_18_util,k_18_egal,k_18_nash,k_18_comp,k_18_EL,k_19_winners,k_19_num_winners,k_19_util,k_19_egal,k_19_nash,k_19_comp,k_19_EL
20,10,500,40,10,20,1,17,18,14,10,15,10,18,19,14,17,18,10,19,13,12,18,15,10,13,11,0 15,2,0.11117959998539842,0.03457994580623897,0,2.6,0,0 15,2,0.11117959998539842,0.03457994580623897,0,2.6,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,2 3 4,3,0.17294391260984565,0.06334241076999117,0,10.11,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,2 19 4,3,0.1704426009926517,0.08281069496685518,0,9.12,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,4 15,2,0.11927952467106763,0.04211708059721364,0,4.65,0,2 19 4,3,0.1704426009926517,0.08281069496685518,0,9.12,0,9 2,2,0.1083156599844265,0.03658496269924077,0,3.32,0
20,10,500,40,10,20,1,13,11,14,16,13,14,18,13,10,18,10,16,18,16,11,17,18,10,16,14,2 14 7,3,0.17779763705539073,0.03706232632272595,0,9.81,0,3 4 14,3,0.1777873866727394,0.03341128849591555,0,9.67,0,4 13 14,3,0.17738440212960613,0.06306671334819614,0,9.83,0,16 8 14,3,0.17950987345764532,0.054252855801821445,0,9.0,0,8 2 13,3,0.17469011978932308,0.05632548336844502,0,7.98,0,8 2 14,3,0.1788996452959666,0.06748663383878922,0,9.76,0,16 8 14,3,0.17950987345764532,0.054252855801821445,0,9.0,0,8 3 14,3,0.17832273064416174,0.0701187977433512,0,9.62,0,16 8 14,3,0.17950987345764532,0.054252855801821445,0,9.0,0,8 2 14,3,0.1788996452959666,0.06748663383878922,0,9.76,0,8 2 14,3,0.1788996452959666,0.06748663383878922,0,9.76,0,2 14 7,3,0.17779763705539073,0.03706232632272595,0,9.81,0,2 14 7,3,0.17779763705539073,0.03706232632272595,0,9.81,0,2 14 7,3,0.17779763705539073,0.03706232632272595,0,9.81,0,18 14 7,3,0.17851204837434076,0.06242208946097986,0,9.51,0,18 14 7,3,0.17851204837434076,0.06242208946097986,0,9.51,0,8 18 2,3,0.17638443030321121,0.07891530097092744,0,7.66,0,3 4 14,3,0.1777873866727394,0.03341128849591555,0,9.67,0,0 2 4,3,0.1701930454708117,0.07588946455770154,0,7.97,0
20,10,500,40,10,20,1,13,10,13,14,18,16,16,19,19,12,19,12,15,10,18,17,10,11,14,14,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,0 2 18,3,0.1804979230313219,0.07183964282061761,0,10.65,0,0 4,2,0.12255701193465968,0.03917215378617753,0,4.77,0,16 4 13,3,0.17314968952802814,0.0885196208180383,0,8.36,0,16 4 13,3,0.17314968952802814,0.0885196208180383,0,8.36,0,16 4 13,3,0.17314968952802814,0.0885196208180383,0,8.36,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,18 4,2,0.12424920111120065,0.037132504087214926,0,4.76,0,18 4,2,0.12424920111120065,0.037132504087214926,0,4.76,0,18 4,2,0.12424920111120065,0.037132504087214926,0,4.76,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0,2 4,2,0.12546327335027793,0.009447866915826646,0,4.9,0
20,10,500,40,10,20,1,13,19,12,15,11,10,16,13,17,15,18,11,18,13,12,17,16,15,14,11,9 11 4,3,0.18409130176036284,0.0876665301083267,0,10.77,0,8 11 4,3,0.18132863046172076,0.07022737492103641,0,9.96,0,8 11 4,3,0.18132863046172076,0.07022737492103641,0,9.96,0,8 18,2,0.1268532600800102,0.04633474073379591,0,5.54,0,8 18,2,0.1268532600800102,0.04633474073379591,0,5.54,0,9 18 4,3,0.18914809317736,0.0900183656537471,0,10.53,0,18 4 13,3,0.18267641313792857,0.09150577274444045,0,11.32,0,18 11 13,3,0.18329834301656184,0.080459990407402,0,10.88,0,9 18 11,3,0.18977002305599336,0.10256068376604696,0,10.09,0,18 11 13,3,0.18329834301656184,0.080459990407402,0,10.88,0,9 18 11,3,0.18977002305599336,0.10256068376604696,0,10.09,0,9 18 11,3,0.18977002305599336,0.10256068376604696,0,10.09,0,9 18 11,3,0.18977002305599336,0.10256068376604696,0,10.09,0,9 18 11,3,0.18977002305599336,0.10256068376604696,0,10.09,0,9 18 4,3,0.18914809317736,0.0900183656537471,0,10.53,0,9 18 4,3,0.18914809317736,0.0900183656537471,0,10.53,0,9 18 4,3,0.18914809317736,0.0900183656537471,0,10.53,0,9 18 4,3,0.18914809317736,0.0900183656537471,0,10.53,0,9 18 4,3,0.18914809317736,0.0900183656537471,0,10.53,0
20,10,500,40,10,20,1,13,19,18,19,18,12,18,13,11,17,15,16,19,12,16,14,13,19,18,18,0 12,2,0.1271021470268639,0.05059431839389318,0,5.37,0,11 12,2,0.12655219395924042,0.03454846946014943,0,4.47,0,11 12,2,0.12655219395924042,0.03454846946014943,0,4.47,0,11 12,2,0.12655219395924042,0.03454846946014943,0,4.47,0,11 12,2,0.12655219395924042,0.03454846946014943,0,4.47,0,11 12,2,0.12655219395924042,0.03454846946014943,0,4.47,0,19 12,2,0.12634318107876924,0.04699744502111979,0,1.13,0,19 12,2,0.12634318107876924,0.04699744502111979,0,1.13,0,19 12,2,0.12634318107876924,0.04699744502111979,0,1.13,0,19 12,2,0.12634318107876924,0.04699744502111979,0,1.13,0,19 12,2,0.12634318107876924,0.04699744502111979,0,1.13,0,19 12,2,0.12634318107876924,0.04699744502111979,0,1.13,0,0 12,2,0.1271021470268639,0.05059431839389318,0,5.37,0,0 12,2,0.1271021470268639,0.05059431839389318,0,5.37,0,0 12,2,0.1271021470268639,0.05059431839389318,0,5.37,0,0 12,2,0.1271021470268639,0.05059431839389318,0,5.37,0,0 12,2,0.1271021470268639,0.05059431839389318,0,5.37,0,11 12,2,0.12655219395924042,0.03454846946014943,0,4.47,0,0 12,2,0.1271021470268639,0.05059431839389318,0,5.37,0
20,10,500,40,10,20,1,11,14,18,16,19,13,15,14,19,18,12,18,16,18,16,12,16,15,11,12,14 7,2,0.11928857859569561,0.03614189722443298,0,6.14,0,14 7,2,0.11928857859569561,0.03614189722443298,0,6.14,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,0 10 14,3,0.1788114359055011,0.07989900616117786,0,12.52,0,0 10 14,3,0.1788114359055011,0.07989900616117786,0,12.52,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0,0 10 14,3,0.1788114359055011,0.07989900616117786,0,12.52,0,4 14,2,0.11730140995107512,0.03866242830058907,0,3.2,0,13 14,2,0.12440371613789514,0.011536837708690056,0,3.56,0
20,10,500,40,10,20,1,14,13,18,12,13,10,11,18,14,12,14,17,16,12,19,12,15,17,13,10,16 18 15,3,0.17298925634702925,0.06786620835838643,0,8.54,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 18 13,3,0.18069608674968973,0.0755210707787763,0,10.22,0,16 18 13,3,0.18069608674968973,0.0755210707787763,0,10.22,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 19 13,3,0.18280105904898827,0.04840484265957924,0,11.12,0,16 10 5,3,0.17234363130385685,0.06834095785240168,0,8.76,0,16 8 19,3,0.17579925049971584,0.06767834948794288,0,9.18,0
20,10,500,40,10,20,1,16,15,17,18,11,17,18,12,14,12,12,16,19,13,19,13,13,10,12,10,8 2,2,0.11104765275652516,0.030891679265809064,0,6.05,0,8 17 13,3,0.17484183556257424,0.07283036579321701,0,11.04,0,8 17 13,3,0.17484183556257424,0.07283036579321701,0,11.04,0,8 12,2,0.11655283028350048,0.018440112539975226,0,3.69,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,11 12,2,0.11950110800745549,0.02688183749805397,0,2.75,0,11 12,2,0.11950110800745549,0.02688183749805397,0,2.75,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,11 12,2,0.11950110800745549,0.02688183749805397,0,2.75,0,12 13,2,0.12146224002624288,0.028391760415765164,0,3.83,0,17 11 13,3,0.17779011328652922,0.09013399363729568,0,10.1,0,11 12,2,0.11950110800745549,0.02688183749805397,0,2.75,0,17 19 12,3,0.17294290133256637,0.06201643873124863,0,6.89,0
20,10,500,40,10,20,1,10,16,19,16,18,10,15,19,16,17,11,15,10,11,16,18,11,13,12,10,16 18 19,3,0.1761211282651628,0.07744585910250584,0,12.33,0,8 18 19,3,0.17295426195262503,0.09570007605053524,0,10.62,0,16 18 19,3,0.1761211282651628,0.07744585910250584,0,12.33,0,16 18 19,3,0.1761211282651628,0.07744585910250584,0,12.33,0,16 8 18,3,0.17825569472703273,0.04698149575884312,0,10.35,0,16 8 18,3,0.17825569472703273,0.04698149575884312,0,10.35,0,16 18 19,3,0.1761211282651628,0.07744585910250584,0,12.33,0,16 8 18,3,0.17825569472703273,0.04698149575884312,0,10.35,0,16 19 4,3,0.17015384851847354,0.04224940980316014,0,8.61,0,16 18 19,3,0.1761211282651628,0.07744585910250584,0,12.33,0,16 9 18,3,0.177658517230754,0.05594060008767816,0,10.13,0,16 18 19,3,0.1761211282651628,0.07744585910250584,0,12.33,0,16 9 18,3,0.177658517230754,0.05594060008767816,0,10.13,0,16 9 18,3,0.177658517230754,0.05594060008767816,0,10.13,0,16 18 14,3,0.17746559822866,0.034684365275699194,0,10.03,0,16 18 14,3,0.17746559822866,0.034684365275699194,0,10.03,0,8 4,2,0.11303267615327492,0.025837786742604504,0,3.0,0,9 4,2,0.1124354986569962,0.031108993524711442,0,2.78,0,16 10 14,3,0.16109448711367758,0.05528868593586168,0,6.66,0
20,10,500,40,10,20,1,13,10,18,15,11,13,15,14,14,16,18,11,15,11,12,14,13,13,19,14,18 12,2,0.12676773240413633,0.058157729969543145,0,3.79,0,18 12,2,0.12676773240413633,0.058157729969543145,0,3.79,0,18 12,2,0.12676773240413633,0.058157729969543145,0,3.79,0,18 12,2,0.12676773240413633,0.058157729969543145,0,3.79,0,18 12,2,0.12676773240413633,0.058157729969543145,0,3.79,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 1 12,3,0.17156913736720988,0.08729486770237085,0,9.14,0,8 12 13,3,0.1673452254141457,0.09697728680668496,0,7.97,0,1 19 12,3,0.167461354760743,0.060597740295911806,0,9.28,0,10 12,2,0.1256727139867888,0.04879757662895586,0,3.6,0
