P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp
10,10,500,40,4,8,1,0,4,6,4,5,7,4,7,4,5,4,1 2 3 4 5 7 8 9,8,0.8379285724873228,0.627429391865672,-0.17979939125936123,0,1 2 3 4 6 7 9,7,0.7494260281827263,0.5310792484153296,-0.29351103027911757,0,1 2 3 4 5 7 8 9,8,0.8379285724873228,0.627429391865672,-0.17979939125936123,0,1 2 3 4 5 7 8 9,8,0.8379285724873228,0.627429391865672,-0.17979939125936123,0,1 2 3 4 5 7 8 9,8,0.8379285724873228,0.627429391865672,-0.17979939125936123,0,1 2 3 4 5 7 8 9,8,0.8379285724873228,0.627429391865672,-0.17979939125936123,0,1 2 3 4 5 7 8 9,8,0.8379285724873228,0.627429391865672,-0.17979939125936123,0,1 2 3 4 5 7 8 9,8,0.8379285724873228,0.627429391865672,-0.17979939125936123,0,1 2 3 4 5 7 8 9,8,0.8379285724873228,0.627429391865672,-0.17979939125936123,0
10,10,500,40,4,8,1,0,4,6,4,6,5,7,7,4,6,4,0 4 5 6 7 8 9,7,0.7251102892414424,0.5019074354530005,-0.32658626125233126,0,0 2 3 4 5 7 8 9,8,0.8274998703791311,0.6069349663636027,-0.19265417966441362,0,0 1 3 4 5 8 9,7,0.7454883917467733,0.483532051545553,-0.299226768233205,0,0 1 3 4 5 8 9,7,0.7454883917467733,0.483532051545553,-0.299226768233205,0,0 1 3 4 5 8 9,7,0.7454883917467733,0.483532051545553,-0.299226768233205,0,0 1 3 4 5 8 9,7,0.7454883917467733,0.483532051545553,-0.299226768233205,0,0 1 3 4 5 8 9,7,0.7454883917467733,0.483532051545553,-0.299226768233205,0,0 1 3 4 5 8 9,7,0.7454883917467733,0.483532051545553,-0.299226768233205,0,0 1 3 4 5 8 9,7,0.7454883917467733,0.483532051545553,-0.299226768233205,0
10,10,500,40,4,8,1,0,7,5,4,7,4,7,7,7,5,7,1 2 3 4 6 8 9,7,0.7385437004697533,0.4410519510991968,-0.3081667227725383,0,1 2 3 4 6 8 9,7,0.7385437004697533,0.4410519510991968,-0.3081667227725383,0,1 2 3 5 6 9,6,0.654625856791551,0.42008974987466385,-0.43111145793999617,0,1 2 3 5 6 9,6,0.654625856791551,0.42008974987466385,-0.43111145793999617,0,1 2 3 5 6 9,6,0.654625856791551,0.42008974987466385,-0.43111145793999617,0,1 2 3 5 6 9,6,0.654625856791551,0.42008974987466385,-0.43111145793999617,0,1 2 3 5 6 9,6,0.654625856791551,0.42008974987466385,-0.43111145793999617,0,1 2 3 5 6 9,6,0.654625856791551,0.42008974987466385,-0.43111145793999617,0,1 2 3 5 6 9,6,0.654625856791551,0.42008974987466385,-0.43111145793999617,0
10,10,500,40,4,8,1,0,7,5,5,5,5,5,6,4,5,4,2 3 4 5 6 7 8 9,8,0.8240139291113273,0.596745824334776,-0.19671087563177758,0,0 2 3 4 5 6 8,7,0.7461088509382493,0.4717401477431579,-0.29842575587767156,0,0 2 3 4 5 6 8,7,0.7461088509382493,0.4717401477431579,-0.29842575587767156,0,0 2 3 4 5 6 8,7,0.7461088509382493,0.4717401477431579,-0.29842575587767156,0,0 2 3 4 5 6 8,7,0.7461088509382493,0.4717401477431579,-0.29842575587767156,0,0 2 3 4 5 6 8,7,0.7461088509382493,0.4717401477431579,-0.29842575587767156,0,0 2 3 4 5 6 8,7,0.7461088509382493,0.4717401477431579,-0.29842575587767156,0,0 2 3 4 5 6 8,7,0.7461088509382493,0.4717401477431579,-0.29842575587767156,0,0 2 3 4 5 6 8,7,0.7461088509382493,0.4717401477431579,-0.29842575587767156,0
10,10,500,40,4,8,1,0,4,6,4,6,6,5,5,7,4,5,0 1 2 3 4 5 8 9,8,0.8279448302582306,0.5267765975849499,-0.1920691966461871,0,1 3 4 5 7 8 9,7,0.7545144917612474,0.4917255260032742,-0.28599271253152997,0,1 3 4 5 7 8 9,7,0.7545144917612474,0.4917255260032742,-0.28599271253152997,0,0 1 4 5 7 8 9,7,0.7560821557053305,0.4547151117987481,-0.28503291513590534,0,0 1 4 5 7 8 9,7,0.7560821557053305,0.4547151117987481,-0.28503291513590534,0,0 1 4 5 7 8 9,7,0.7560821557053305,0.4547151117987481,-0.28503291513590534,0,0 1 4 5 7 8 9,7,0.7560821557053305,0.4547151117987481,-0.28503291513590534,0,1 3 4 5 7 8 9,7,0.7545144917612474,0.4917255260032742,-0.28599271253152997,0,1 3 4 5 7 8 9,7,0.7545144917612474,0.4917255260032742,-0.28599271253152997,0
10,10,500,40,4,8,1,0,6,4,7,4,7,7,5,6,6,7,1 2 3 5 6 7 9,7,0.7272938922628539,0.47978792332710424,-0.3250176180084263,0,1 3 5 6 7 8 9,7,0.7260407480071035,0.4712483268658001,-0.3263142832492927,0,1 2 3 5 6 7 9,7,0.7272938922628539,0.47978792332710424,-0.3250176180084263,0,1 2 3 5 6 7 9,7,0.7272938922628539,0.47978792332710424,-0.3250176180084263,0,1 2 3 5 6 7 9,7,0.7272938922628539,0.47978792332710424,-0.3250176180084263,0,1 2 3 5 6 7 9,7,0.7272938922628539,0.47978792332710424,-0.3250176180084263,0,1 2 3 5 6 7 9,7,0.7272938922628539,0.47978792332710424,-0.3250176180084263,0,1 2 3 5 6 7 9,7,0.7272938922628539,0.47978792332710424,-0.3250176180084263,0,1 3 5 6 7 8 9,7,0.7260407480071035,0.4712483268658001,-0.3263142832492927,0
10,10,500,40,4,8,1,0,6,5,4,6,7,6,5,6,6,4,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0,0 1 2 4 7 8 9,7,0.7488400745086826,0.5077035012386923,-0.29470742605640426,0
10,10,500,40,4,8,1,0,6,4,7,4,6,6,6,4,7,5,0 2 4 5 6 8,6,0.6328607489440938,0.3035502529860031,-0.4661983418889175,0,0 2 4 5 6 8,6,0.6328607489440938,0.3035502529860031,-0.4661983418889175,0,0 2 4 5 6 8,6,0.6328607489440938,0.3035502529860031,-0.4661983418889175,0,0 2 4 5 6 8,6,0.6328607489440938,0.3035502529860031,-0.4661983418889175,0,0 2 4 5 6 8,6,0.6328607489440938,0.3035502529860031,-0.4661983418889175,0,0 2 4 5 6 8,6,0.6328607489440938,0.3035502529860031,-0.4661983418889175,0,0 2 4 5 6 8,6,0.6328607489440938,0.3035502529860031,-0.4661983418889175,0,0 2 4 5 6 8,6,0.6328607489440938,0.3035502529860031,-0.4661983418889175,0,0 1 2 3 4 6 8,7,0.7184732009027309,0.4386140059599195,-0.3370198244059206,0
10,10,500,40,4,8,1,0,6,6,7,5,7,6,7,7,5,6,0 1 4 5 7 8,6,0.6439355607528164,0.35198811845987105,-0.4484908492334308,0,0 1 4 5 7 8,6,0.6439355607528164,0.35198811845987105,-0.4484908492334308,0,0 1 3 4 7 8,6,0.6414457040677086,0.41926468943604456,-0.45208388803497596,0,0 1 4 5 7 8,6,0.6439355607528164,0.35198811845987105,-0.4484908492334308,0,0 1 4 7 8 9,6,0.64316938427523,0.35430909655167464,-0.4500282941050783,0,0 1 4 5 7 8,6,0.6439355607528164,0.35198811845987105,-0.4484908492334308,0,0 1 4 7 8 9,6,0.64316938427523,0.35430909655167464,-0.4500282941050783,0,0 1 4 7 8 9,6,0.64316938427523,0.35430909655167464,-0.4500282941050783,0,0 1 4 5 7 8,6,0.6439355607528164,0.35198811845987105,-0.4484908492334308,0
10,10,500,40,4,8,1,0,5,5,5,7,4,4,7,5,4,5,1 2 3 4 5 7 8 9,8,0.8269572855353633,0.6195553463165105,-0.19305361429875662,0,1 3 4 6 7 8 9,7,0.7433780560890048,0.5081967040004746,-0.301192370920802,0,1 3 4 6 7 8 9,7,0.7433780560890048,0.5081967040004746,-0.301192370920802,0,1 3 4 6 7 8 9,7,0.7433780560890048,0.5081967040004746,-0.301192370920802,0,1 2 3 4 5 7 8 9,8,0.8269572855353633,0.6195553463165105,-0.19305361429875662,0,1 2 3 4 5 7 8 9,8,0.8269572855353633,0.6195553463165105,-0.19305361429875662,0,1 2 3 4 5 7 8 9,8,0.8269572855353633,0.6195553463165105,-0.19305361429875662,0,1 2 3 4 5 7 8 9,8,0.8269572855353633,0.6195553463165105,-0.19305361429875662,0,1 2 3 4 6 7 9,7,0.7390681132301363,0.514342772347476,-0.308423679087965,0
