P,epsilon,N,budget,min_prize,max_prize,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_1_EL,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_2_EL,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_3_EL,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_4_EL,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_5_EL,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_6_EL,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_7_EL,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_8_EL,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_9_EL
10,10,500,40,10,20,1,11,17,14,18,16,17,13,16,14,11,0 9 5,3,0.3502047599108358,0.09099274333602997,0,0,0,2 5,2,0.22665883550994168,0.02366432649128423,0,0,0,5 6,2,0.22888664799862968,0.0419418073073516,0,0,0,8 5,2,0.23292468949982362,0.045178466501550614,0,0,0,8 5,2,0.23292468949982362,0.045178466501550614,0,0,0,0 9 5,3,0.3502047599108358,0.09099274333602997,0,0,0,0 9 5,3,0.3502047599108358,0.09099274333602997,0,0,0,0 9 5,3,0.3502047599108358,0.09099274333602997,0,0,0,1 5,2,0.2180562503289088,0.009639470205991471,0,0,0
10,10,500,40,10,20,1,16,17,12,15,13,19,10,15,13,17,4 6 7,3,0.3778216757266207,0.17425245173150944,0,0,0,2 4 6,3,0.36363303505689326,0.17278072733647387,0,0,0,2 4 6,3,0.36363303505689326,0.17278072733647387,0,0,0,4 6 7,3,0.3778216757266207,0.17425245173150944,0,0,0,0 4 6,3,0.3737495093091799,0.11098495230317942,0,0,0,0 4 6,3,0.3737495093091799,0.11098495230317942,0,0,0,0 4 6,3,0.3737495093091799,0.11098495230317942,0,0,0,4 6 7,3,0.3778216757266207,0.17425245173150944,0,0,0,4 6 7,3,0.3778216757266207,0.17425245173150944,0,0,0
10,10,500,40,10,20,1,10,16,19,18,14,19,18,18,15,16,8 9,2,0.24867602613171574,0.06557741679361909,0,0,0,8 9,2,0.24867602613171574,0.06557741679361909,0,0,0,8 9,2,0.24867602613171574,0.06557741679361909,0,0,0,8 1,2,0.24934592007403172,0.09144150114914623,0,0,0,8 1,2,0.24934592007403172,0.09144150114914623,0,0,0,8 1,2,0.24934592007403172,0.09144150114914623,0,0,0,8 1,2,0.24934592007403172,0.09144150114914623,0,0,0,8 1,2,0.24934592007403172,0.09144150114914623,0,0,0,9 1,2,0.23869156315029513,0.01361548943077438,0,0,0
10,10,500,40,10,20,1,17,15,11,16,13,19,10,11,12,13,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0,8 1 6,3,0.3593895817355305,0.09886864823844693,0,0,0
10,10,500,40,10,20,1,16,10,15,19,11,18,14,11,17,19,9 6,2,0.22202978862769995,0.04689017666366728,0,0,0,9 3,2,0.22311268526327002,0.015136474825914103,0,0,0,9 3,2,0.22311268526327002,0.015136474825914103,0,0,0,0 3,2,0.21341586552732764,0.0133932655424742,0,0,0,0 9,2,0.21814932429207168,0.045127468382123954,0,0,0,9 4 1,3,0.3048112273409193,0.09613253036211468,0,0,0,1 3 4,3,0.3000777685761752,0.06592674734769904,0,0,0,1 3 4,3,0.3000777685761752,0.06592674734769904,0,0,0,2 4 6,3,0.3233536190025603,0.06966006424089798,0,0,0
10,10,500,40,10,20,1,14,15,19,14,11,14,17,12,14,14,8 9 4,3,0.3706052291283066,0.03981351231539776,0,0,0,8 9 4,3,0.3706052291283066,0.03981351231539776,0,0,0,8 9 4,3,0.3706052291283066,0.03981351231539776,0,0,0,9 4 1,3,0.37122955569815447,0.032337316537380104,0,0,0,9 4 1,3,0.37122955569815447,0.032337316537380104,0,0,0,9 4 1,3,0.37122955569815447,0.032337316537380104,0,0,0,9 4 1,3,0.37122955569815447,0.032337316537380104,0,0,0,9 4 1,3,0.37122955569815447,0.032337316537380104,0,0,0,9 4 1,3,0.37122955569815447,0.032337316537380104,0,0,0
10,10,500,40,10,20,1,15,10,10,11,13,19,14,10,10,18,9 1 7,3,0.39923090012950047,0.03825429586738429,0,0,0,9 1 7,3,0.39923090012950047,0.03825429586738429,0,0,0,9 1 7,3,0.39923090012950047,0.03825429586738429,0,0,0,9 1 7,3,0.39923090012950047,0.03825429586738429,0,0,0,1 9 7,3,0.39923090012950047,0.03825429586738429,0,0,0,1 9 7,3,0.39923090012950047,0.03825429586738429,0,0,0,9 1 7,3,0.39923090012950047,0.03825429586738429,0,0,0,9 1 7,3,0.39923090012950047,0.03825429586738429,0,0,0,9 1 7,3,0.39923090012950047,0.03825429586738429,0,0,0
10,10,500,40,10,20,1,19,17,15,11,10,15,12,15,16,13,1 4 6,3,0.37013442943524105,0.06976876190760654,0,0,0,0 6,2,0.2453443556172585,0.058121553276951655,0,0,0,0 6,2,0.2453443556172585,0.058121553276951655,0,0,0,0 3 4,3,0.3344867591785754,0.06751934632200518,0,0,0,0 3 4,3,0.3344867591785754,0.06751934632200518,0,0,0,0 1,2,0.23746550602166447,0.03644404723492605,0,0,0,0 6,2,0.2453443556172585,0.058121553276951655,0,0,0,1 4 6,3,0.37013442943524105,0.06976876190760654,0,0,0,1 4 6,3,0.37013442943524105,0.06976876190760654,0,0,0
10,10,500,40,10,20,1,19,10,13,19,10,11,13,11,16,12,9 6 7,3,0.3604811620023697,0.1386827518031544,0,0,0,9 6 7,3,0.3604811620023697,0.1386827518031544,0,0,0,9 6 7,3,0.3604811620023697,0.1386827518031544,0,0,0,9 6 7,3,0.3604811620023697,0.1386827518031544,0,0,0,3 6,2,0.23990347086085279,0.03928054076621039,0,0,0,9 3,2,0.23941141236276672,0.04349169321431381,0,0,0,3 6,2,0.23990347086085279,0.03928054076621039,0,0,0,3 6,2,0.23990347086085279,0.03928054076621039,0,0,0,3 6,2,0.23990347086085279,0.03928054076621039,0,0,0
10,10,500,40,10,20,1,17,15,19,18,15,13,14,18,16,15,0 9,2,0.2476069739087837,0.04179903098752192,0,0,0,0 9,2,0.2476069739087837,0.04179903098752192,0,0,0,0 9,2,0.2476069739087837,0.04179903098752192,0,0,0,0 9,2,0.2476069739087837,0.04179903098752192,0,0,0,9 4,2,0.24901653179719901,0.08996361107716523,0,0,0,9 4,2,0.24901653179719901,0.08996361107716523,0,0,0,9 4,2,0.24901653179719901,0.08996361107716523,0,0,0,9 4,2,0.24901653179719901,0.08996361107716523,0,0,0,4 5,2,0.23751210972152478,0.06688869820605069,0,0,0
