P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp
10,10,500,40,7,11,1,4.0,9,10,10,10,9,7,7,9,10,10,8 2 6 7,4,0.4421875352262135,0.16277822651118215,-0.8360618555726138,17.704,8 2 6 7,4,0.4421875352262135,0.16277822651118215,-0.8360618555726138,17.704,8 2 6 7,4,0.4421875352262135,0.16277822651118215,-0.8360618555726138,17.704,8 2 6 7,4,0.4421875352262135,0.16277822651118215,-0.8360618555726138,17.704,8 2 6 7,4,0.4421875352262135,0.16277822651118215,-0.8360618555726138,17.704,8 2 6 7,4,0.4421875352262135,0.16277822651118215,-0.8360618555726138,17.704,8 9 2 7,4,0.44009113252561805,0.13471791571511263,-0.8419290849244064,18.412,8 2 6 7,4,0.4421875352262135,0.16277822651118215,-0.8360618555726138,17.704,8 9 2 7,4,0.44009113252561805,0.13471791571511263,-0.8419290849244064,18.412
10,10,500,40,7,11,1,4.417721518987341,9,8,9,8,7,8,10,7,9,8,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83,8 1 2 5,4,0.45129741164166387,0.21523911561413905,-0.8127374398866198,17.83
10,10,500,40,7,11,1,4.4431137724550895,10,8,8,10,7,7,8,9,9,7,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916,0 1 2 3,4,0.47035666289800215,0.240574789827435,-0.7698693603907679,17.916
10,10,500,40,7,11,1,4.583815028901734,8,8,7,10,7,8,9,8,7,10,1 2 3 6,4,0.46498313121687135,0.23177972378068895,-0.7812027577089786,18.494,1 2 3 6,4,0.46498313121687135,0.23177972378068895,-0.7812027577089786,18.494,1 2 3 6,4,0.46498313121687135,0.23177972378068895,-0.7812027577089786,18.494,1 2 5 6 7,5,0.5602181120192438,0.33017569332680163,-0.5904700105697428,24.638,1 2 3 6,4,0.46498313121687135,0.23177972378068895,-0.7812027577089786,18.494,1 2 3 6,4,0.46498313121687135,0.23177972378068895,-0.7812027577089786,18.494,1 3 6 7,4,0.46027236383753123,0.19325748171068743,-0.793804326402632,18.32,1 3 6 7,4,0.46027236383753123,0.19325748171068743,-0.793804326402632,18.32,1 2 3 6,4,0.46498313121687135,0.23177972378068895,-0.7812027577089786,18.494
10,10,500,40,7,11,1,4.0,9,9,10,10,10,9,7,9,8,8,9 4 5 6,4,0.45154258454621826,0.2117995522885581,-0.8142363766854808,16.994,3 4 5 6,4,0.4552899048180309,0.1419407668197807,-0.8057569392702065,18.318,3 4 5 6,4,0.4552899048180309,0.1419407668197807,-0.8057569392702065,18.318,3 4 5 6,4,0.4552899048180309,0.1419407668197807,-0.8057569392702065,18.318,3 4 5 6,4,0.4552899048180309,0.1419407668197807,-0.8057569392702065,18.318,3 4 5 6,4,0.4552899048180309,0.1419407668197807,-0.8057569392702065,18.318,9 3 4 6,4,0.4526002920047312,0.2148947709810643,-0.8101994433608414,17.558,9 3 4 6,4,0.4526002920047312,0.2148947709810643,-0.8101994433608414,17.558,9 3 4 5,4,0.4526720348504084,0.18439384159021627,-0.8115271087332437,18.552
10,10,500,40,7,11,1,4.086705202312139,7,9,10,9,10,7,9,10,7,10,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308,0 4 5 6 8,5,0.5704940013342354,0.3106396851653267,-0.5718599605623184,27.308
10,10,500,40,7,11,1,4.233532934131737,7,9,8,8,7,10,10,9,7,10,8 9 5 0,4,0.45235725156949574,0.19167890781201607,-0.8128755226838796,18.196,8 0 5 9,4,0.4523572515694957,0.1916789078120161,-0.8128755226838796,18.196,8 9 5 0,4,0.45235725156949574,0.19167890781201607,-0.8128755226838796,18.196,8 0 5 9,4,0.4523572515694957,0.1916789078120161,-0.8128755226838796,18.196,8 9 5 0,4,0.45235725156949574,0.19167890781201607,-0.8128755226838796,18.196,8 0 5 9,4,0.4523572515694957,0.1916789078120161,-0.8128755226838796,18.196,8 9 5 0,4,0.45235725156949574,0.19167890781201607,-0.8128755226838796,18.196,8 9 5 0,4,0.45235725156949574,0.19167890781201607,-0.8128755226838796,18.196,8 0 5 9,4,0.4523572515694957,0.1916789078120161,-0.8128755226838796,18.196
10,10,500,40,7,11,1,4.355029585798817,7,9,8,10,7,10,8,8,7,10,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978,1 4 5 9,4,0.4452605829687209,0.17201993155911532,-0.8297113890555741,15.978
10,10,500,40,7,11,1,4.025,7,8,8,8,10,8,10,10,10,9,0 9 6 7,4,0.43795775577100615,0.14087266527631503,-0.8463524112887174,16.8,0 9 6 7,4,0.43795775577100615,0.14087266527631503,-0.8463524112887174,16.8,0 9 6 7,4,0.43795775577100615,0.14087266527631503,-0.8463524112887174,16.8,0 9 6 7,4,0.43795775577100615,0.14087266527631503,-0.8463524112887174,16.8,0 9 6 7,4,0.43795775577100615,0.14087266527631503,-0.8463524112887174,16.8,0 9 6 7,4,0.43795775577100615,0.14087266527631503,-0.8463524112887174,16.8,9 5 6 7,4,0.43602974457334825,0.1886641106265128,-0.8521047739579586,17.056,0 9 6 7,4,0.43795775577100615,0.14087266527631503,-0.8463524112887174,16.8,9 5 6 7,4,0.43602974457334825,0.1886641106265128,-0.8521047739579586,17.056
10,10,500,40,7,11,1,4.004854368932039,8,10,8,10,10,8,10,8,8,9,0 9 2 3,4,0.4665613832448182,0.22742963391072585,-0.7763435429103418,18.708,9 2 3 5,4,0.4670851327457857,0.19751791401380192,-0.7758097068561072,18.756,9 2 3 5,4,0.4670851327457857,0.19751791401380192,-0.7758097068561072,18.756,9 2 3 5,4,0.4670851327457857,0.19751791401380192,-0.7758097068561072,18.756,0 9 2 3,4,0.4665613832448182,0.22742963391072585,-0.7763435429103418,18.708,0 9 2 3,4,0.4665613832448182,0.22742963391072585,-0.7763435429103418,18.708,0 9 2 3,4,0.4665613832448182,0.22742963391072585,-0.7763435429103418,18.708,9 2 3 5,4,0.4670851327457857,0.19751791401380192,-0.7758097068561072,18.756,9 2 3 5,4,0.4670851327457857,0.19751791401380192,-0.7758097068561072,18.756
