P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp
10,10,500,40,2,35,1,2.9166666666666665,26,22,10,25,11,25,13,3,13,21,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444,9 6 7,3,0.3649444230216491,0.14319942480325787,-1.0301418813228556,15.444
10,10,500,40,2,35,1,3.6785714285714284,29,31,3,5,11,2,25,21,11,4,2 4 5 7,4,0.45938631746201813,0.17963385007611984,-0.7935621349899019,17.06,2 4 6,3,0.35339129246739115,0.13759909488988217,-1.0641503831961794,13.736,2 4 6,3,0.35339129246739115,0.13759909488988217,-1.0641503831961794,13.736,2 4 6,3,0.35339129246739115,0.13759909488988217,-1.0641503831961794,13.736,2 4 6,3,0.35339129246739115,0.13759909488988217,-1.0641503831961794,13.736,2 4 6,3,0.35339129246739115,0.13759909488988217,-1.0641503831961794,13.736,2 4 6,3,0.35339129246739115,0.13759909488988217,-1.0641503831961794,13.736,2 4 6,3,0.35339129246739115,0.13759909488988217,-1.0641503831961794,13.736,2 4 5 7,4,0.45938631746201813,0.17963385007611984,-0.7935621349899019,17.06
10,10,500,40,2,35,1,3.2857142857142856,34,24,19,2,3,19,19,26,27,10,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94,2 3 6,3,0.3332281814652722,0.10025017357357244,-1.1322667259939085,16.94
10,10,500,40,2,35,1,3.35,5,24,2,5,34,19,23,16,5,26,8 4,2,0.23517245140449516,0.04877413403265917,-1.4972127973675085,4.77,0 2 3 6 8,5,0.5066197336615821,0.21225173581113682,-0.6958308437082708,28.266,0 2 3 6 8,5,0.5066197336615821,0.21225173581113682,-0.6958308437082708,28.266,0 2 3 6 8,5,0.5066197336615821,0.21225173581113682,-0.6958308437082708,28.266,0 2 3 6 8,5,0.5066197336615821,0.21225173581113682,-0.6958308437082708,28.266,0 2 3 6 8,5,0.5066197336615821,0.21225173581113682,-0.6958308437082708,28.266,0 2 3 6 8,5,0.5066197336615821,0.21225173581113682,-0.6958308437082708,28.266,0 2 3 6 8,5,0.5066197336615821,0.21225173581113682,-0.6958308437082708,28.266,0 2 3 6 8,5,0.5066197336615821,0.21225173581113682,-0.6958308437082708,28.266
10,10,500,40,2,35,1,2.774193548387097,9,22,19,7,31,10,12,13,29,16,9 1,2,0.22746190174348715,0.03686766316390742,-1.535449732419183,7.976,9 1,2,0.22746190174348715,0.03686766316390742,-1.535449732419183,7.976,9 1,2,0.22746190174348715,0.03686766316390742,-1.535449732419183,7.976,9 1,2,0.22746190174348715,0.03686766316390742,-1.535449732419183,7.976,0 4,2,0.20518921608289742,0.0335915517134741,-1.6479769540515836,5.82,9 1,2,0.22746190174348715,0.03686766316390742,-1.535449732419183,7.976,9 1,2,0.22746190174348715,0.03686766316390742,-1.535449732419183,7.976,9 1,2,0.22746190174348715,0.03686766316390742,-1.535449732419183,7.976,9 1,2,0.22746190174348715,0.03686766316390742,-1.535449732419183,7.976
10,10,500,40,2,35,1,2.64,14,26,18,28,9,16,21,12,5,27,9 7,2,0.22443678833414146,0.04787401577174153,-1.55018836030144,9.084,3 7,2,0.22831889361332475,0.05586259625686481,-1.5261488631256364,9.152,3 7,2,0.22831889361332475,0.05586259625686481,-1.5261488631256364,9.152,3 7,2,0.22831889361332475,0.05586259625686481,-1.5261488631256364,9.152,3 7,2,0.22831889361332475,0.05586259625686481,-1.5261488631256364,9.152,3 7,2,0.22831889361332475,0.05586259625686481,-1.5261488631256364,9.152,3 7,2,0.22831889361332475,0.05586259625686481,-1.5261488631256364,9.152,3 7,2,0.22831889361332475,0.05586259625686481,-1.5261488631256364,9.152,8 9,2,0.22064131640126528,0.03610454356034519,-1.5674602856100315,4.474
10,10,500,40,2,35,1,2.764705882352941,26,24,4,13,32,9,22,21,23,13,1 2 5,3,0.34086908013481293,0.09940941784876864,-1.1060364386553923,13.882,2 5 7,3,0.3423611199280189,0.11904967816107272,-1.1006641044689005,14.866,2 5 7,3,0.3423611199280189,0.11904967816107272,-1.1006641044689005,14.866,1 2 5,3,0.34086908013481293,0.09940941784876864,-1.1060364386553923,13.882,1 2 5,3,0.34086908013481293,0.09940941784876864,-1.1060364386553923,13.882,1 2 5,3,0.34086908013481293,0.09940941784876864,-1.1060364386553923,13.882,1 2 5,3,0.34086908013481293,0.09940941784876864,-1.1060364386553923,13.882,1 2 5,3,0.34086908013481293,0.09940941784876864,-1.1060364386553923,13.882,1 2 5,3,0.34086908013481293,0.09940941784876864,-1.1060364386553923,13.882
10,10,500,40,2,35,1,2.0526315789473686,34,29,13,17,22,9,19,19,29,16,1 5,2,0.2190457908453682,0.04494075236202577,-1.570464925233901,8.094,9 2 5,3,0.32718658973154396,0.10617986209441418,-1.148297570320079,25.7,9 2 5,3,0.32718658973154396,0.10617986209441418,-1.148297570320079,25.7,9 4,2,0.2273814552126046,0.050233618249898165,-1.5294359592689,11.768,9 4,2,0.2273814552126046,0.050233618249898165,-1.5294359592689,11.768,9 2 5,3,0.32718658973154396,0.10617986209441418,-1.148297570320079,25.7,1 5,2,0.2190457908453682,0.04494075236202577,-1.570464925233901,8.094,1 5,2,0.2190457908453682,0.04494075236202577,-1.570464925233901,8.094,1 5,2,0.2190457908453682,0.04494075236202577,-1.570464925233901,8.094
10,10,500,40,2,35,1,2.235294117647059,29,10,34,21,17,17,30,21,20,9,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556,9 6,2,0.21113631306434777,0.03776540342308018,-1.6155697670303073,8.556
10,10,500,40,2,35,1,3.125,31,17,29,7,5,26,4,24,9,27,8 4 7,3,0.33311346466770203,0.10399932696633718,-1.1258236273627695,18.072,8 4 7,3,0.33311346466770203,0.10399932696633718,-1.1258236273627695,18.072,8 4 7,3,0.33311346466770203,0.10399932696633718,-1.1258236273627695,18.072,8 4 7,3,0.33311346466770203,0.10399932696633718,-1.1258236273627695,18.072,8 4 7,3,0.33311346466770203,0.10399932696633718,-1.1258236273627695,18.072,8 4 7,3,0.33311346466770203,0.10399932696633718,-1.1258236273627695,18.072,8 4 7,3,0.33311346466770203,0.10399932696633718,-1.1258236273627695,18.072,8 4 7,3,0.33311346466770203,0.10399932696633718,-1.1258236273627695,18.072,3 4 6 7,4,0.412000850270221,0.20459495423503937,-0.9079547170023994,21.55
