P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp
10,10,500,40,5,30,1,3.98989898989899,7,9,6,6,10,10,6,22,12,15,0 8 2 9,4,0.4371034014557283,0.20827639602263615,-0.8466746467713331,17.366,0 8 3 9,4,0.44387885200072463,0.2021518932519891,-0.8315337659571849,17.438,0 8 3 9,4,0.44387885200072463,0.2021518932519891,-0.8315337659571849,17.438,0 8 3 9,4,0.44387885200072463,0.2021518932519891,-0.8315337659571849,17.438,0 8 3 9,4,0.44387885200072463,0.2021518932519891,-0.8315337659571849,17.438,0 8 3 9,4,0.44387885200072463,0.2021518932519891,-0.8315337659571849,17.438,0 8 3 9,4,0.44387885200072463,0.2021518932519891,-0.8315337659571849,17.438,0 9 3 8,4,0.44387885200072463,0.20215189325198912,-0.8315337659571849,17.438,0 8 4 5,4,0.4346610562098959,0.20745341840297887,-0.8511750319118738,18.924
10,10,500,40,5,30,1,2.411764705882353,23,17,25,21,10,20,5,21,19,26,4 5 6,3,0.3448842126729951,0.1549268326500615,-1.089663634681623,18.7,0 4 6,3,0.3432502516338299,0.11588891715297195,-1.0971269285813556,18.86,0 4 6,3,0.3432502516338299,0.11588891715297195,-1.0971269285813556,18.86,0 4 6,3,0.3432502516338299,0.11588891715297195,-1.0971269285813556,18.86,4 5 6,3,0.3448842126729951,0.1549268326500615,-1.089663634681623,18.7,4 5 6,3,0.3448842126729951,0.1549268326500615,-1.089663634681623,18.7,0 4 6,3,0.3432502516338299,0.11588891715297195,-1.0971269285813556,18.86,0 4 6,3,0.3432502516338299,0.11588891715297195,-1.0971269285813556,18.86,1 5,2,0.23005454870217618,0.052920012353589126,-1.516663016773933,9.066
10,10,500,40,5,30,1,2.7837837837837838,12,28,8,10,7,10,25,10,28,28,0 2 4 7,4,0.43869191431484356,0.1631605175376572,-0.845280126357814,26.648,9 7,2,0.23495142831054006,0.03651769356789927,-1.4968332518233718,7.948,9 7,2,0.23495142831054006,0.03651769356789927,-1.4968332518233718,7.948,9 7,2,0.23495142831054006,0.03651769356789927,-1.4968332518233718,7.948,9 7,2,0.23495142831054006,0.03651769356789927,-1.4968332518233718,7.948,0 2 4 7,4,0.43869191431484356,0.1631605175376572,-0.845280126357814,26.648,9 7,2,0.23495142831054006,0.03651769356789927,-1.4968332518233718,7.948,0 2 4 7,4,0.43869191431484356,0.1631605175376572,-0.845280126357814,26.648,9 7,2,0.23495142831054006,0.03651769356789927,-1.4968332518233718,7.948
10,10,500,40,5,30,1,2.65625,15,20,27,22,9,6,12,26,18,11,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496,0 3,2,0.24194246214810347,0.05198867724449824,-1.4713840533919997,9.496
10,10,500,40,5,30,1,2.6666666666666665,14,22,9,16,8,18,10,10,24,25,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504,8 3,2,0.24444830675140955,0.03294192857751459,-1.4583053864381386,7.504
10,10,500,40,5,30,1,3.0,23,5,20,26,12,6,13,24,7,23,9 5 1,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404,9 5 1,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404,9 5 1,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404,9 5 1,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404,9 5 1,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404,1 5 9,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404,1 5 9,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404,1 5 9,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404,1 5 9,3,0.36733163787546674,0.14668538908601694,-1.0236102584716118,11.404
10,10,500,40,5,30,1,3.25,17,7,23,11,9,23,5,8,9,21,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358,1 5 6,3,0.3443937976835518,0.09259572679786747,-1.0961516618419211,11.358
10,10,500,40,5,30,1,3.0,28,21,22,20,12,9,13,25,5,7,8 1 4,3,0.3293584274733523,0.08475788557074213,-1.1434315342536572,14.798,8 3 4,3,0.3310113519254728,0.10240366154662198,-1.1396736747870526,15.594,9 3 4,3,0.3346553788531258,0.12021683912503686,-1.12326411972408,16.126,1 4 9,3,0.33300245440100534,0.10620334056674349,-1.1305382085968936,15.33,1 4 9,3,0.33300245440100534,0.10620334056674349,-1.1305382085968936,15.33,1 4 9,3,0.33300245440100534,0.10620334056674349,-1.1305382085968936,15.33,9 3 4,3,0.3346553788531258,0.12021683912503686,-1.12326411972408,16.126,9 3 4,3,0.3346553788531258,0.12021683912503686,-1.12326411972408,16.126,9 3 4,3,0.3346553788531258,0.12021683912503686,-1.12326411972408,16.126
10,10,500,40,5,30,1,2.625,16,5,17,21,10,20,18,25,25,15,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02,9 6 1,3,0.3608643749688989,0.1241165514535782,-1.0474759172299137,21.02
10,10,500,40,5,30,1,2.4285714285714284,26,27,6,27,22,12,18,12,13,17,4 6,2,0.23136749746707416,0.04946558701598463,-1.51353829721482,12.58,1 2,2,0.23373841426194122,0.035021146932350714,-1.509833237317043,6.648,1 2,2,0.23373841426194122,0.035021146932350714,-1.509833237317043,6.648,1 2,2,0.23373841426194122,0.035021146932350714,-1.509833237317043,6.648,1 2,2,0.23373841426194122,0.035021146932350714,-1.509833237317043,6.648,1 2,2,0.23373841426194122,0.035021146932350714,-1.509833237317043,6.648,1 2,2,0.23373841426194122,0.035021146932350714,-1.509833237317043,6.648,1 2,2,0.23373841426194122,0.035021146932350714,-1.509833237317043,6.648,1 2,2,0.23373841426194122,0.035021146932350714,-1.509833237317043,6.648
