P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,p_10,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_10_winners,k_10_num_winners,k_10_util,k_10_egal,k_10_nash,k_10_comp,k_11_winners,k_11_num_winners,k_11_util,k_11_egal,k_11_nash,k_11_comp,k_12_winners,k_12_num_winners,k_12_util,k_12_egal,k_12_nash,k_12_comp,k_13_winners,k_13_num_winners,k_13_util,k_13_egal,k_13_nash,k_13_comp,k_14_winners,k_14_num_winners,k_14_util,k_14_egal,k_14_nash,k_14_comp,k_15_winners,k_15_num_winners,k_15_util,k_15_egal,k_15_nash,k_15_comp,k_16_winners,k_16_num_winners,k_16_util,k_16_egal,k_16_nash,k_16_comp,k_17_winners,k_17_num_winners,k_17_util,k_17_egal,k_17_nash,k_17_comp,k_18_winners,k_18_num_winners,k_18_util,k_18_egal,k_18_nash,k_18_comp,k_19_winners,k_19_num_winners,k_19_util,k_19_egal,k_19_nash,k_19_comp
20,10,500,40,4,8,1,0,5,5,5,5,4,6,7,4,4,5,6,5,7,5,7,5,4,5,4,4,1 2 3 6 9 16 17 18,8,0.4458432126188582,0.3110411917383397,-0.8129526776945207,0,1 2 3 4 9 16 17 18,8,0.44604858205433134,0.3106304974061564,-0.8126221698496203,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,2 3 4 6 9 16 17 18,8,0.4482053962591866,0.3102342993631895,-0.8077631878975521,0,3 4 6 9 10 16 17 18,8,0.44150873656963413,0.2700592626500224,-0.8235054228958752,0
20,10,500,40,4,8,1,0,6,4,7,4,4,4,4,4,7,5,5,4,6,4,7,7,4,5,6,6,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0,0 2 8 11 12 13 16,7,0.3955429469673109,0.2298964586901162,-0.9343162527026577,0
20,10,500,40,4,8,1,0,7,5,7,5,6,4,7,7,6,5,7,4,4,7,6,6,7,7,7,6,0 3 5 9 10 11 19,7,0.3865820966573645,0.22615284734453156,-0.9590063452802857,0,0 3 5 9 10 11 19,7,0.3865820966573645,0.22615284734453156,-0.9590063452802857,0,0 3 5 9 10 11 19,7,0.3865820966573645,0.22615284734453156,-0.9590063452802857,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 10 11 13 19,7,0.3848727158233539,0.23531416520930315,-0.9629113384473538,0,0 3 5 7 10 11 19,7,0.38593670389947327,0.24989806652432484,-0.9609235196920535,0,0 3 5 7 10 11 19,7,0.38593670389947327,0.24989806652432484,-0.9609235196920535,0,0 3 5 9 10 11 19,7,0.3865820966573645,0.22615284734453156,-0.9590063452802857,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 10 11 15 19,7,0.3866581369180148,0.2481476309943937,-0.9587872503899156,0,0 3 5 9 10 11 19,7,0.3865820966573645,0.22615284734453156,-0.9590063452802857,0,0 3 5 9 10 11 19,7,0.3865820966573645,0.22615284734453156,-0.9590063452802857,0,3 5 9 10 11 15 19,7,0.38434904565351846,0.237433460670472,-0.9643751893232052,0
20,10,500,40,4,8,1,0,6,6,7,6,6,5,7,4,6,4,4,5,5,7,7,5,7,7,5,7,3 4 12 13 14 17,6,0.34325567157442655,0.2176690262497191,-1.0773087910556316,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,3 12 13 14 16 17,6,0.3471935988726577,0.22288772532814763,-1.0660289536253202,0,2 3 12 13 14 16,6,0.3447283995807378,0.19306824460587108,-1.0741309481663792,0,2 3 12 13 14 16,6,0.3447283995807378,0.19306824460587108,-1.0741309481663792,0,3 4 12 13 14 16,6,0.3438072351069606,0.1933875043534075,-1.0766731374273941,0,3 11 12 13 14 16,6,0.34306000263704234,0.21355367158170596,-1.078938383698877,0
20,10,500,40,4,8,1,0,5,6,6,4,6,6,5,5,5,7,7,6,5,5,4,5,4,6,6,4,0 1 3 7 12 13 14 15,8,0.4377483484414083,0.27984559858730224,-0.8326613529560728,0,0 1 3 6 7 13 14 18,8,0.4404861160247179,0.3072564237634957,-0.8257418766465512,0,0 1 3 6 7 13 14 18,8,0.4404861160247179,0.3072564237634957,-0.8257418766465512,0,0 1 3 6 7 13 14 18,8,0.4404861160247179,0.3072564237634957,-0.8257418766465512,0,0 1 3 7 13 14 15 16,8,0.4411117380819937,0.26457238547192397,-0.8254478980202339,0,0 1 3 7 13 14 15 16,8,0.4411117380819937,0.26457238547192397,-0.8254478980202339,0,0 1 3 6 7 13 14 16,8,0.4419285648298513,0.26611366738634085,-0.8234527366571005,0,0 1 3 6 7 13 14 16,8,0.4419285648298513,0.26611366738634085,-0.8234527366571005,0,0 1 3 6 7 13 14 16,8,0.4419285648298513,0.26611366738634085,-0.8234527366571005,0,0 1 3 6 7 13 14 16,8,0.4419285648298513,0.26611366738634085,-0.8234527366571005,0,0 1 3 7 13 14 15 16,8,0.4411117380819937,0.26457238547192397,-0.8254478980202339,0,0 1 3 7 13 14 15 16,8,0.4411117380819937,0.26457238547192397,-0.8254478980202339,0,0 1 3 6 7 13 14 16,8,0.4419285648298513,0.26611366738634085,-0.8234527366571005,0,0 1 3 6 7 14 15 16,8,0.43956440678073616,0.277186148437393,-0.8287679832200503,0,0 1 3 6 7 14 15 16,8,0.43956440678073616,0.277186148437393,-0.8287679832200503,0,0 1 3 6 7 13 14 15,8,0.4413953983875749,0.302754729620201,-0.8243140258525338,0,0 1 3 6 7 13 14 16,8,0.4419285648298513,0.26611366738634085,-0.8234527366571005,0,0 1 3 6 7 13 14 15,8,0.4413953983875749,0.302754729620201,-0.8243140258525338,0,0 1 3 6 7 13 14 16,8,0.4419285648298513,0.26611366738634085,-0.8234527366571005,0
20,10,500,40,4,8,1,0,7,5,6,6,4,4,6,4,5,6,5,7,7,5,6,5,7,5,5,4,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 15 16 17 18,7,0.3981263141582395,0.24323235268082874,-0.9279536968034775,0,1 3 6 15 16 17 18,7,0.3981263141582395,0.24323235268082874,-0.9279536968034775,0,1 3 6 15 16 17 18,7,0.3981263141582395,0.24323235268082874,-0.9279536968034775,0,1 3 6 15 16 17 18,7,0.3981263141582395,0.24323235268082874,-0.9279536968034775,0,1 3 6 15 16 17 18,7,0.3981263141582395,0.24323235268082874,-0.9279536968034775,0,1 3 6 15 16 17 18,7,0.3981263141582395,0.24323235268082874,-0.9279536968034775,0,1 3 6 15 16 17 18,7,0.3981263141582395,0.24323235268082874,-0.9279536968034775,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0,1 3 6 7 15 17 18 19,8,0.4515375155773698,0.306550427045012,-0.8010656954307032,0
20,10,500,40,4,8,1,0,5,7,6,4,6,7,4,4,4,5,7,5,5,4,6,4,5,7,5,7,4 5 6 9 13 14 19,7,0.3895473410032609,0.2582929546623688,-0.9497002685743788,0,4 5 7 9 13 14 19,7,0.39333536165673927,0.27986378816823304,-0.9404905029245186,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 7 13 14 15 19,7,0.39379125975767415,0.25851865973977184,-0.9394605904452209,0,4 5 6 7 9 13 14 15,8,0.44409345838351677,0.2683705842212404,-0.8174700710521929,0,4 6 7 9 13 14 15 19,8,0.4435056508062983,0.3000517749422651,-0.8189813805315803,0
20,10,500,40,4,8,1,0,6,6,7,6,5,6,6,4,4,6,7,4,5,7,4,5,6,4,5,4,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 5 6 9 14 16 19,7,0.39240959662126607,0.24894288616332202,-0.9429561326614471,0,3 5 6 9 14 16 19,7,0.39240959662126607,0.24894288616332202,-0.9429561326614471,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0,3 5 6 9 14 16 19,7,0.39240959662126607,0.24894288616332202,-0.9429561326614471,0,3 6 9 10 14 16 19,7,0.39410459214738647,0.24311089394053745,-0.9388296850626436,0
20,10,500,40,4,8,1,0,4,5,6,5,5,4,6,5,6,5,7,6,7,4,5,5,4,7,4,6,2 5 10 11 12 13 19,7,0.3887883240635216,0.20250769651770997,-0.9525865803458595,0,2 5 10 11 13 15 19,7,0.39360154781150597,0.21974131756340262,-0.9399827804392826,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 9 10 13 15 19,7,0.3955511951374497,0.25352988877940974,-0.934678900042225,0,2 5 8 10 13 15 19,7,0.392978215175944,0.24747242111419765,-0.9416158425601527,0,2 5 8 10 13 15 19,7,0.392978215175944,0.24747242111419765,-0.9416158425601527,0,0 2 5 9 10 13 14 15,8,0.44379011376648975,0.2638099437618643,-0.8180269473465384,0
20,10,500,40,4,8,1,0,7,5,7,4,6,7,7,4,6,5,6,4,5,6,5,6,5,7,6,5,0 2 5 6 7 12,6,0.3386006412106917,0.20340947128051018,-1.0921024048080714,0,2 3 5 6 7 12 18,7,0.38545066105959097,0.23318882214408682,-0.9616725421033987,0,0 2 5 6 7 18,6,0.3404502550777184,0.1942736490544986,-1.087402287687195,0,0 2 5 6 7 18,6,0.3404502550777184,0.1942736490544986,-1.087402287687195,0,0 2 5 6 7 18,6,0.3404502550777184,0.1942736490544986,-1.087402287687195,0,0 2 5 6 7 18,6,0.3404502550777184,0.1942736490544986,-1.087402287687195,0,0 2 5 6 7 18,6,0.3404502550777184,0.1942736490544986,-1.087402287687195,0,0 2 3 6 7 12 18,7,0.3856796513327653,0.23276999045426697,-0.9607238530465259,0,2 3 5 6 7 12 18,7,0.38545066105959097,0.23318882214408682,-0.9616725421033987,0,0 2 5 6 7 18,6,0.3404502550777184,0.1942736490544986,-1.087402287687195,0,0 2 3 5 7 12 18,7,0.38635338236885913,0.21834151988079392,-0.9588648966327699,0,0 2 3 5 7 12 18,7,0.38635338236885913,0.21834151988079392,-0.9588648966327699,0,0 2 5 6 7 18,6,0.3404502550777184,0.1942736490544986,-1.087402287687195,0,2 3 5 6 7 12 18,7,0.38545066105959097,0.23318882214408682,-0.9616725421033987,0,0 2 3 5 7 12 18,7,0.38635338236885913,0.21834151988079392,-0.9588648966327699,0,0 2 3 5 7 12 18,7,0.38635338236885913,0.21834151988079392,-0.9588648966327699,0,1 2 5 7 12 16 18,7,0.39138895617094976,0.25802504849908947,-0.9450637975895304,0,0 1 2 7 12 16 18,7,0.3916179464441242,0.21109226001362807,-0.9439845501960794,0,0 1 2 7 12 16 18,7,0.3916179464441242,0.21109226001362807,-0.9439845501960794,0
