P,epsilon,N,budget,min_prize,max_prize,g,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_1_EL,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_2_EL,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_3_EL,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_4_EL,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_5_EL,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_6_EL,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_7_EL,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_8_EL,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp,k_9_EL
10,10,500,40,20,40,1,24,22,20,35,31,30,23,33,33,39,2,1,0.11596689301682808,0.0,0,0,0,7,1,0.12658559430273136,0.0,0,0,0,7,1,0.12658559430273136,0.0,0,0,0,3,1,0.12752592847361416,0.0,0,0,0,3,1,0.12752592847361416,0.0,0,0,0,3,1,0.12752592847361416,0.0,0,0,0,7,1,0.12658559430273136,0.0,0,0,0,7,1,0.12658559430273136,0.0,0,0,0,7,1,0.12658559430273136,0.0,0,0,0
10,10,500,40,20,40,1,37,20,31,22,37,29,21,24,28,38,7,1,0.12620908525291333,0.0,0,0,0,8,1,0.12435935362272924,0.0,0,0,0,7,1,0.12620908525291333,0.0,0,0,0,7,1,0.12620908525291333,0.0,0,0,0,8,1,0.12435935362272924,0.0,0,0,0,8,1,0.12435935362272924,0.0,0,0,0,7,1,0.12620908525291333,0.0,0,0,0,7,1,0.12620908525291333,0.0,0,0,0,8,1,0.12435935362272924,0.0,0,0,0
10,10,500,40,20,40,1,29,20,26,38,37,24,28,21,23,28,8,1,0.11907869342733936,0.0,0,0,0,8,1,0.11907869342733936,0.0,0,0,0,8,1,0.11907869342733936,0.0,0,0,0,7,1,0.12466453691556932,0.0,0,0,0,7,1,0.12466453691556932,0.0,0,0,0,7,1,0.12466453691556932,0.0,0,0,0,7,1,0.12466453691556932,0.0,0,0,0,7,1,0.12466453691556932,0.0,0,0,0,7,1,0.12466453691556932,0.0,0,0,0
10,10,500,40,20,40,1,23,24,27,21,34,32,25,31,31,22,8,1,0.14127519328475308,0.006343288952194286,0,0,0,8,1,0.14127519328475308,0.006343288952194286,0,0,0,8,1,0.14127519328475308,0.006343288952194286,0,0,0,8,1,0.14127519328475308,0.006343288952194286,0,0,0,8,1,0.14127519328475308,0.006343288952194286,0,0,0,8,1,0.14127519328475308,0.006343288952194286,0,0,0,8,1,0.14127519328475308,0.006343288952194286,0,0,0,8,1,0.14127519328475308,0.006343288952194286,0,0,0,8,1,0.14127519328475308,0.006343288952194286,0,0,0
10,10,500,40,20,40,1,24,28,22,24,28,23,23,30,25,35,3,1,0.12544380930021581,0.0,0,0,0,3,1,0.12544380930021581,0.0,0,0,0,3,1,0.12544380930021581,0.0,0,0,0,3,1,0.12544380930021581,0.0,0,0,0,3,1,0.12544380930021581,0.0,0,0,0,3,1,0.12544380930021581,0.0,0,0,0,7,1,0.12259230264989437,0.0,0,0,0,7,1,0.12259230264989437,0.0,0,0,0,7,1,0.12259230264989437,0.0,0,0,0
10,10,500,40,20,40,1,22,36,31,26,29,30,32,32,39,32,3,1,0.12935004174470094,0.0,0,0,0,3,1,0.12935004174470094,0.0,0,0,0,3,1,0.12935004174470094,0.0,0,0,0,3,1,0.12935004174470094,0.0,0,0,0,3,1,0.12935004174470094,0.0,0,0,0,3,1,0.12935004174470094,0.0,0,0,0,5,1,0.12460533682711418,0.0,0,0,0,3,1,0.12935004174470094,0.0,0,0,0,9,1,0.11583600508611248,0.0,0,0,0
10,10,500,40,20,40,1,31,22,25,20,32,34,21,24,35,26,5,1,0.13289222559440234,0.0,0,0,0,5,1,0.13289222559440234,0.0,0,0,0,5,1,0.13289222559440234,0.0,0,0,0,5,1,0.13289222559440234,0.0,0,0,0,5,1,0.13289222559440234,0.0,0,0,0,5,1,0.13289222559440234,0.0,0,0,0,5,1,0.13289222559440234,0.0,0,0,0,5,1,0.13289222559440234,0.0,0,0,0,5,1,0.13289222559440234,0.0,0,0,0
10,10,500,40,20,40,1,29,24,38,23,23,26,31,30,34,27,1,1,0.11715344497306023,0.0,0,0,0,5,1,0.121011553226,0.0,0,0,0,5,1,0.121011553226,0.0,0,0,0,5,1,0.121011553226,0.0,0,0,0,5,1,0.121011553226,0.0,0,0,0,5,1,0.121011553226,0.0,0,0,0,5,1,0.121011553226,0.0,0,0,0,6,1,0.11148549495673937,0.0,0,0,0,7,1,0.11504238815646133,0.0,0,0,0
10,10,500,40,20,40,1,22,29,21,25,34,24,25,28,30,35,4,1,0.13513515372647544,0.0,0,0,0,4,1,0.13513515372647544,0.0,0,0,0,4,1,0.13513515372647544,0.0,0,0,0,4,1,0.13513515372647544,0.0,0,0,0,4,1,0.13513515372647544,0.0,0,0,0,4,1,0.13513515372647544,0.0,0,0,0,1,1,0.12067319197872887,0.0,0,0,0,7,1,0.12454896803702811,0.0,0,0,0,7,1,0.12454896803702811,0.0,0,0,0
10,10,500,40,20,40,1,23,32,31,34,27,39,34,33,35,34,3,1,0.13398579383141507,0.0,0,0,0,5,1,0.11559313928740052,0.0,0,0,0,3,1,0.13398579383141507,0.0,0,0,0,3,1,0.13398579383141507,0.0,0,0,0,2,1,0.1244164464250141,0.0,0,0,0,2,1,0.1244164464250141,0.0,0,0,0,2,1,0.1244164464250141,0.0,0,0,0,3,1,0.13398579383141507,0.0,0,0,0,2,1,0.1244164464250141,0.0,0,0,0
