P,epsilon,N,budget,min_prize,max_prize,g,avg_len,p_0,p_1,p_2,p_3,p_4,p_5,p_6,p_7,p_8,p_9,k_1_winners,k_1_num_winners,k_1_util,k_1_egal,k_1_nash,k_1_comp,k_2_winners,k_2_num_winners,k_2_util,k_2_egal,k_2_nash,k_2_comp,k_3_winners,k_3_num_winners,k_3_util,k_3_egal,k_3_nash,k_3_comp,k_4_winners,k_4_num_winners,k_4_util,k_4_egal,k_4_nash,k_4_comp,k_5_winners,k_5_num_winners,k_5_util,k_5_egal,k_5_nash,k_5_comp,k_6_winners,k_6_num_winners,k_6_util,k_6_egal,k_6_nash,k_6_comp,k_7_winners,k_7_num_winners,k_7_util,k_7_egal,k_7_nash,k_7_comp,k_8_winners,k_8_num_winners,k_8_util,k_8_egal,k_8_nash,k_8_comp,k_9_winners,k_9_num_winners,k_9_util,k_9_egal,k_9_nash,k_9_comp
10,10,500,40,5,8,1,6.234848484848484,5,5,7,7,7,5,6,5,6,6,1 4 5 6 7 8 9,7,0.7474962160081104,0.48783043207452614,-0.29615377389299535,30.222,1 4 5 6 7 8 9,7,0.7474962160081104,0.48783043207452614,-0.29615377389299535,30.222,1 4 5 6 7 8 9,7,0.7474962160081104,0.48783043207452614,-0.29615377389299535,30.222,1 4 5 6 7 8 9,7,0.7474962160081104,0.48783043207452614,-0.29615377389299535,30.222,1 4 5 6 7 8 9,7,0.7474962160081104,0.48783043207452614,-0.29615377389299535,30.222,1 4 5 6 7 8 9,7,0.7474962160081104,0.48783043207452614,-0.29615377389299535,30.222,2 4 5 6 7 9,6,0.6413713011728216,0.39679511763515907,-0.45255151934130483,25.234,1 4 5 6 7 8 9,7,0.7474962160081104,0.48783043207452614,-0.29615377389299535,30.222,1 4 5 6 7 8 9,7,0.7474962160081104,0.48783043207452614,-0.29615377389299535,30.222
10,10,500,40,5,8,1,6.2153846153846155,6,6,6,5,5,7,5,6,6,7,1 2 5 6 7 9,6,0.6399844711704348,0.3357348270157815,-0.45376525176690513,23.726,1 2 5 6 7 9,6,0.6399844711704348,0.3357348270157815,-0.45376525176690513,23.726,1 5 6 7 8 9,6,0.6410521554908987,0.36896164878075144,-0.45231034158909406,24.074,1 5 6 7 8 9,6,0.6410521554908987,0.36896164878075144,-0.45231034158909406,24.074,1 5 6 7 8 9,6,0.6410521554908987,0.36896164878075144,-0.45231034158909406,24.074,1 5 6 7 8 9,6,0.6410521554908987,0.36896164878075144,-0.45231034158909406,24.074,1 5 6 7 8 9,6,0.6410521554908987,0.36896164878075144,-0.45231034158909406,24.074,1 2 5 6 7 9,6,0.6399844711704348,0.3357348270157815,-0.45376525176690513,23.726,1 2 5 6 7 9,6,0.6399844711704348,0.3357348270157815,-0.45376525176690513,23.726
10,10,500,40,5,8,1,6.004901960784314,6,6,6,6,5,7,5,7,6,7,2 4 5 6 7 8,6,0.6438682321329982,0.3900513922651598,-0.4484015259434382,23.91,2 5 6 7 8 9,6,0.6504834610360136,0.42312778582024585,-0.43796454890591313,25.078,2 5 6 7 8 9,6,0.6504834610360136,0.42312778582024585,-0.43796454890591313,25.078,2 5 6 7 8 9,6,0.6504834610360136,0.42312778582024585,-0.43796454890591313,25.078,2 5 6 7 8 9,6,0.6504834610360136,0.42312778582024585,-0.43796454890591313,25.078,2 5 6 7 8 9,6,0.6504834610360136,0.42312778582024585,-0.43796454890591313,25.078,2 5 6 7 8 9,6,0.6504834610360136,0.42312778582024585,-0.43796454890591313,25.078,2 5 6 7 8 9,6,0.6504834610360136,0.42312778582024585,-0.43796454890591313,25.078,0 2 5 6 7 8,6,0.6453060746736323,0.3875946035508936,-0.446248442242341,24.514
